code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Frequency of arriving late to commitments,ensuring,0.85,
C02,CRITERION,Systematic underestimation of task durations,allocating,0.68,
C03,CRITERION,Pre-departure organizational state (availability of essentials),task,0.85,
C04,CRITERION,Built-in buffer time before commitments,time,0.66,
C05,CRITERION,Variability in durations of routine tasks,creating,0.57,
C06,CRITERION,Negative self-evaluation related to lateness,self_critical_rumination,0.72,
P01,PREDICTOR,Time-Estimation Training with External Time Cues,time_estimation_strategy_training,0.85,
P02,PREDICTOR,Pre-Departure Organizational Cue System (Door-ready cues),environmental_cue_placement_strategy,0.78,
P03,PREDICTOR,Built-in Buffer Time Scheduling,shared_calendar_and_task_management_setup,0.58,
P04,PREDICTOR,Routine Task Standardization Templates (Checklists),template_use_for_repeated_tasks,0.85,
P05,PREDICTOR,Self-Compassion and Cognitive Reframing Training,self_criticism_to_compassion_reframe,0.82,
P06,PREDICTOR,Self-Monitoring and Feedback System,personalized_outcome_monitoring,0.78,
P07,PREDICTOR,Sleep Regularity and Morning Light Exposure (passive sensor),morning_daylight_exposure,0.85,
P08,PREDICTOR,Pre-Departure Light Physical Activation,gentle_mobility_on_waking,0.72,
P09,PREDICTOR,Social Accountability Partner,accountability_partner_matching,0.72,
P10,PREDICTOR,Digital Tools for Reminders and External Offloading,prospective_memory_cue_system_design,0.78,
