pseudoprofile_id,role,var_id,source_variable_id,label,ontology_path,domain,priority,polarity,measurement_mode,measurement_channel,assessment_type,measurement_item_or_signal,measurement_scale_or_unit,sampling_per_day,recall_window,expected_variability
pseudoprofile_FTC_ID008,criterion,C01,C01,Elevated resting muscle tension in shoulders and jaw,,,HIGH,higher_is_better,EMA_self_report,mobile_app,momentary,Self-rated shoulder and jaw tension right now,"1-9 Likert (1=not at all tense, 9=extremely tense)",6,momentary,high
pseudoprofile_FTC_ID008,criterion,C02,C02,Low moment-to-moment awareness of bodily tension,,,HIGH,higher_is_better,EMA_self_report,mobile_app,since_last_prompt,"Since last prompt, how much have you noticed bodily tension or tightness before it led to another symptom?","1-9 Likert (1=very high awareness, 9=very low awareness)",6,since_last_prompt,medium
pseudoprofile_FTC_ID008,criterion,C03,C03,Headaches triggered by muscular tension,,,HIGH,higher_is_better,EMA_self_report,mobile_app,since_last_prompt,"Since last prompt, have you experienced a headache and its intensity?","Two parts: (A) Headache flag (yes/no) optional; (B) Intensity 1-9 Likert (1=none, 9=very severe). Use intensity as node.",6,since_last_prompt,medium
pseudoprofile_FTC_ID008,criterion,C04,C04,Persistent anticipatory threat expectation,,,HIGH,higher_is_better,EMA_self_report,mobile_app,momentary,"Right now, how much do you expect that something bad is about to happen?","1-9 Likert (1=not at all, 9=extremely)",6,momentary,high
pseudoprofile_FTC_ID008,criterion,C05,C05,Difficulty relaxing on low-stress days,,,MED,higher_is_better,EMA_self_report,mobile_app,since_last_prompt,"Since last prompt, how difficult has it been to relax given the current context?","1-9 Likert (1=easy to relax, 9=very difficult)",6,since_last_prompt,medium
pseudoprofile_FTC_ID008,criterion,C06,C06,Habitual anticipatory muscle bracing in absence of immediate threat,,,HIGH,higher_is_better,EMA_self_report,mobile_app,since_last_prompt,"Since last prompt, to what extent did you find yourself automatically bracing/tensing (posture/face)?","1-9 Likert (1=not at all, 9=constantly)",6,since_last_prompt,high
pseudoprofile_FTC_ID008,predictor,P01,,Progressive muscle relaxation (PMR) practice intensity since last prompt,PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / breath_and_relaxation_skills / *progressive_muscle_relaxation_practice,PSYCHO,HIGH,,EMA_self_report,mobile_app,since_last_prompt,How much PMR practice (short guided or self) did you do since last prompt?,"1-9 Likert (1=none, 9=full 15+ min session)",6,since_last_prompt,medium
pseudoprofile_FTC_ID008,predictor,P02,,Interoceptive awareness/body-scan practice (mindfulness) since last prompt,PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / body_based_mindfulness / *body_scan_with_breath_integration,PSYCHO,HIGH,,EMA_self_report,mobile_app,since_last_prompt,"Since last prompt, how much did you practice body-focused interoception (body-scan/notice tension)?","1-9 Likert (1=none, 9=frequent/detailed body-scan)",6,since_last_prompt,high
pseudoprofile_FTC_ID008,predictor,P03,,Diaphragmatic/soothing breathing micro-practices since last prompt,PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / breath_and_relaxation_skills / *diaphragmatic_breathing_practice,PSYCHO,HIGH,,EMA_self_report,mobile_app,since_last_prompt,"Since last prompt, how much breathing practice did you do?","1-9 Likert (1=none, 9=frequent/extended)",6,since_last_prompt,high
pseudoprofile_FTC_ID008,predictor,P04,,Sleep quality last night (morning diary),BIO / Sleep_Circadian_and_Restoration / Sleep_Routines_and_Practices,BIO,MED,,EMA_self_report,mobile_app,morning_diary,Last-night sleep quality,"1-9 Likert (1=very poor, 9=very good)",1,last_night,medium
