code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Frequency of automatic social comparisons,appearance_comparison_frequency,0.62,
C02,CRITERION,Specific triggers: others' achievements,identifying,0.68,
C03,CRITERION,Speed of negative self-evaluation after a trigger,catastrophizing_neutral_feedback_as_criticism,0.66,
C04,CRITERION,Intensity of lowered self-worth (feeling like a failure),feelings_of_worthlessness,0.72,
C05,CRITERION,Jealousy/envious emotional response,jealousy,0.72,
C06,CRITERION,Repetitive thinking/rumination loop,self_referential_ruminative_content,0.85,
C07,CRITERION,Capacity to maintain initial positive affect,maintaining,0.62,
C08,CRITERION,Motivation and intent to change,internal,0.78,
P01,PREDICTOR,Self-Compassion_Practice (failure-related),self_compassion_for_failure_practice,0.92,
P02,PREDICTOR,Self-Monitoring_Goals_and_Feedback_Loop,sct_self_monitoring_goals_and_feedback_loop,0.92,
P03,PREDICTOR,Mindfulness_Based_Interventions,decentering_practice,0.82,
P04,PREDICTOR,Emotion_Regulation_Skills,cognitive_reappraisal_emotion,0.82,
P05,PREDICTOR,Sleep_Rhythm_and_Circadian_Entrainment,daylight_exposure_planning,0.79,
P06,PREDICTOR,Social_Support_and_Belonging_Network,belonging_and_community_fit_assessment,0.72,
P07,PREDICTOR,Cognitive_Reframing_and_Beliefs,cognitive_reappraisal_practice,0.84,
P08,PREDICTOR,Activation_and_Values-Based_Action,values_aligned_action_experiment,0.72,
