pseudoprofile_id,role,var_id,source_variable_id,label,ontology_path,domain,priority,polarity,measurement_mode,measurement_channel,assessment_type,measurement_item_or_signal,measurement_scale_or_unit,sampling_per_day,recall_window,expected_variability
pseudoprofile_FTC_ID002,criterion,C01,custom,Diminished positive emotional response to pleasant events,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, when something pleasant happened, how much did you feel pleasure or positive emotion? (1 = not at all, 9 = a lot)",1-9 Likert,5,since last prompt,high
pseudoprofile_FTC_ID002,criterion,C02,custom,Guilt about not enjoying positive experiences,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you feel guilty or self-critical about not enjoying something you experienced? (1 = not at all, 9 = extremely)",1-9 Likert,5,since last prompt,medium
pseudoprofile_FTC_ID002,criterion,C03,custom,Behavioral autopilot / low moment-to-moment engagement,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how often did you do things in an automatic or 'on autopilot' way (mindless, not present)? (1 = not at all/present, 9 = entirely on autopilot)",1-9 Likert,5,since last prompt,high
pseudoprofile_FTC_ID002,criterion,C04,custom,General emotional blunting (low affect intensity),,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how intense were your emotions overall (both positive and negative)? (1 = not intense/very blunted, 9 = very intense)",1-9 Likert,5,since last prompt,medium
pseudoprofile_FTC_ID002,criterion,C05,custom,External presentation of being 'fine' despite internal disengagement,,,MED,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how much did you present or act as if you were 'fine' while feeling different inside? (1 = not at all, 9 = a lot)",1-9 Likert,5,since last prompt,low
pseudoprofile_FTC_ID002,criterion,C06,custom,Reduced motivation/interest to pursue non-routine pleasurable activities,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how motivated were you to do something enjoyable beyond routine obligations? (1 = not at all motivated, 9 = highly motivated)",1-9 Likert,5,since last prompt,high
pseudoprofile_FTC_ID002,predictor,P01,,Behavioral activation (intentional pleasurable activity engagement),PSYCHO / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you intentionally do a planned/enjoyable activity? Rate how engaged you were: 1 = not at all, 9 = fully engaged.",1-9 Likert (engagement intensity),5,since last prompt,high
pseudoprofile_FTC_ID002,predictor,P02,,Savoring / positive-event noticing,PSYCHO / Positive_Psychology_and_Wellbeing / Gratitude_and_Savoring,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you intentionally notice or savor any pleasant moment? (1 = not at all, 9 = very much)",1-9 Likert,5,since last prompt,high
pseudoprofile_FTC_ID002,predictor,P03,,Self-compassion / reduced self-criticism,PSYCHO / Self_and_Identity_Work / Shame_Guilt_and_Self_Forgiveness,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you respond to yourself with compassion rather than self-criticism? (1 = entirely self-critical, 9 = entirely self-compassionate)",1-9 Likert,5,since last prompt,medium
pseudoprofile_FTC_ID002,predictor,P04,,Momentary present-moment awareness (mindfulness),PSYCHO / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how present and aware were you of what you were doing? (1 = not at all, 9 = completely present)",1-9 Likert,5,since last prompt,high
