dst,src,max_abs_delta_adj,argmax_delta_time_index,argmax_delta_t,range,slope,mean,sd,min,max
P04,P06,0.018562748007054045,10,0.5263157894736842,0.11991333441245562,0.14641632936090934,0.04438718934814517,0.047104161126915144,-0.0,0.11991333441245562
C02,C06,0.01786121217455533,17,0.894736842105263,0.1871712512961269,0.1957846164499273,0.057032417532210875,0.06334215046896655,0.0,0.1871712512961269
C04,P04,0.01405771148702161,2,0.10526315789473684,0.035219079717936835,0.01703297405547424,-0.003351853853882388,0.009001908672998523,-0.035219079717936835,0.0
C02,P04,0.013204888447467769,1,0.05263157894736842,0.05532771777681118,0.03515922114564873,-0.00734938351593239,0.01562665284404682,-0.05532771777681118,-0.0
C06,C03,0.012150604209983365,3,0.15789473684210525,0.047233664237981254,-0.02877859154674508,0.005924009456105731,0.013254338178252306,0.0,0.047233664237981254
P02,P08,0.010238164500793227,2,0.10526315789473684,0.11623179490096863,0.11895686628431149,0.10049990181598863,0.03719583880155747,0.025806367700070033,0.14203816260103866
P05,P06,0.010068867201946004,5,0.2631578947368421,0.048046944571419205,0.03972924486364153,0.02642312801334294,0.017981409667203175,0.0,0.048046944571419205
C02,P05,0.010027582515251566,11,0.5789473684210527,0.08100075760810609,-0.08770583730018322,-0.023691808367707408,0.029347440155491723,-0.08100075760810609,-0.0
P07,C05,0.009983047093557343,6,0.3157894736842105,0.0509912409595963,0.041796236816145894,-0.009467285363426484,0.016219034340309284,-0.0509912409595963,-0.0
P06,C02,0.009765849315369635,1,0.05263157894736842,0.04426468210674266,0.02360557549958314,-0.02502565234068658,0.014027320389700266,-0.04426468210674266,-0.0
P08,C03,0.009266179211332014,5,0.2631578947368421,0.08476223809838246,-0.08527918674629535,0.02254792462390625,0.02883682207324769,0.0,0.08476223809838246
P04,C02,0.009152675306990697,7,0.3684210526315789,0.024258893262895105,-0.007560534731071939,-0.008336973052209682,0.009269746739856768,-0.024258893262895105,-0.0
P01,P08,0.009149178375709506,9,0.47368421052631576,0.023666730773396198,0.007658603460894953,0.005758512474286723,0.008382108959398707,0.0,0.023666730773396198
P01,P05,0.008611247724381772,14,0.7368421052631579,0.0429502755875819,0.04132129394694845,0.009877763235034597,0.015158913913646788,-0.0,0.0429502755875819
P01,C05,0.00851222221785794,12,0.631578947368421,0.0612059401161017,0.07703756420879723,-0.026521495007039875,0.024172527731421607,-0.0612059401161017,-0.0
P06,C06,0.008360841442482754,1,0.05263157894736842,0.008360841442482754,0.0022693712486738893,-0.0004180420721241377,0.0018222031465374585,-0.008360841442482754,-0.0
