pseudoprofile_id,edge_type,from_var_id,to_var_id,expected_sign,relation_interpretation,lag_spec,estimated_relevance_0_1,estimated_relevance_tier,notes
pseudoprofile_FTC_ID002,P_to_P,P02,P01,monotonic_positive,hypothesized_direct_causal,0-6h,0.35,medium,P02↔P01
pseudoprofile_FTC_ID002,P_to_P,P06,P01,monotonic_positive,hypothesized_direct_causal,0-6h,0.29,low,P06↔P01
pseudoprofile_FTC_ID002,P_to_P,P05,P01,monotonic_positive,hypothesized_direct_causal,0-6h,0.26,low,P05↔P01
pseudoprofile_FTC_ID002,P_to_P,P01,P02,monotonic_positive,hypothesized_direct_causal,0-6h,0.32,medium,P01↔P02
pseudoprofile_FTC_ID002,P_to_P,P06,P02,monotonic_positive,hypothesized_direct_causal,0-6h,0.32,medium,P06↔P02
pseudoprofile_FTC_ID002,P_to_P,P03,P02,monotonic_positive,hypothesized_direct_causal,0-6h,0.28,low,P03↔P02
pseudoprofile_FTC_ID002,P_to_P,P02,P03,monotonic_positive,hypothesized_direct_causal,0-6h,0.4,medium,P02↔P03
pseudoprofile_FTC_ID002,P_to_P,P01,P03,monotonic_positive,hypothesized_direct_causal,0-6h,0.28,low,P01↔P03
pseudoprofile_FTC_ID002,P_to_P,P05,P03,monotonic_positive,hypothesized_direct_causal,0-6h,0.28,low,P05↔P03
pseudoprofile_FTC_ID002,P_to_P,P03,P04,monotonic_positive,hypothesized_direct_causal,0-6h,0.31,medium,P03↔P04
pseudoprofile_FTC_ID002,P_to_P,P02,P04,monotonic_positive,hypothesized_direct_causal,0-6h,0.3,medium,P02↔P04
pseudoprofile_FTC_ID002,P_to_P,P06,P04,monotonic_positive,hypothesized_direct_causal,0-6h,0.3,medium,P06↔P04
pseudoprofile_FTC_ID002,P_to_P,P03,P05,monotonic_positive,hypothesized_direct_causal,0-6h,0.35,medium,P03↔P05
pseudoprofile_FTC_ID002,P_to_P,P02,P05,monotonic_positive,hypothesized_direct_causal,0-6h,0.33,medium,P02↔P05
pseudoprofile_FTC_ID002,P_to_P,P06,P05,monotonic_positive,hypothesized_direct_causal,0-6h,0.33,medium,P06↔P05
pseudoprofile_FTC_ID002,P_to_P,P03,P06,monotonic_positive,hypothesized_direct_causal,0-6h,0.32,medium,P03↔P06
pseudoprofile_FTC_ID002,P_to_P,P05,P06,monotonic_positive,hypothesized_direct_causal,0-6h,0.31,medium,P05↔P06
pseudoprofile_FTC_ID002,P_to_P,P04,P06,monotonic_positive,hypothesized_direct_causal,0-6h,0.3,medium,P04↔P06
