pseudoprofile_id,matrix,from_var_id,to_var_id,relevance_score_0_1_comma5,relevance_score_0_1_float
pseudoprofile_FTC_ID002,P_to_C,P01,C01,"0,60000",0.6
pseudoprofile_FTC_ID002,P_to_C,P01,C02,"0,50000",0.5
pseudoprofile_FTC_ID002,P_to_C,P01,C03,"0,30000",0.3
pseudoprofile_FTC_ID002,P_to_C,P01,C04,"0,40000",0.4
pseudoprofile_FTC_ID002,P_to_C,P01,C05,"0,35000",0.35
pseudoprofile_FTC_ID002,P_to_C,P01,C06,"0,25000",0.25
pseudoprofile_FTC_ID002,P_to_C,P02,C01,"0,65000",0.65
pseudoprofile_FTC_ID002,P_to_C,P02,C02,"0,50000",0.5
pseudoprofile_FTC_ID002,P_to_C,P02,C03,"0,45000",0.45
pseudoprofile_FTC_ID002,P_to_C,P02,C04,"0,30000",0.3
pseudoprofile_FTC_ID002,P_to_C,P02,C05,"0,50000",0.5
pseudoprofile_FTC_ID002,P_to_C,P02,C06,"0,29000",0.29
pseudoprofile_FTC_ID002,P_to_C,P03,C01,"0,55000",0.55
pseudoprofile_FTC_ID002,P_to_C,P03,C02,"0,60000",0.6
pseudoprofile_FTC_ID002,P_to_C,P03,C03,"0,40000",0.4
pseudoprofile_FTC_ID002,P_to_C,P03,C04,"0,50000",0.5
pseudoprofile_FTC_ID002,P_to_C,P03,C05,"0,30000",0.3
pseudoprofile_FTC_ID002,P_to_C,P03,C06,"0,25000",0.25
pseudoprofile_FTC_ID002,P_to_C,P04,C01,"0,60000",0.6
pseudoprofile_FTC_ID002,P_to_C,P04,C02,"0,60000",0.6
pseudoprofile_FTC_ID002,P_to_C,P04,C03,"0,70000",0.7
pseudoprofile_FTC_ID002,P_to_C,P04,C04,"0,50000",0.5
pseudoprofile_FTC_ID002,P_to_C,P04,C05,"0,60000",0.6
pseudoprofile_FTC_ID002,P_to_C,P04,C06,"0,40000",0.4
pseudoprofile_FTC_ID002,P_to_C,P05,C01,"0,55000",0.55
pseudoprofile_FTC_ID002,P_to_C,P05,C02,"0,50000",0.5
pseudoprofile_FTC_ID002,P_to_C,P05,C03,"0,65000",0.65
pseudoprofile_FTC_ID002,P_to_C,P05,C04,"0,55000",0.55
pseudoprofile_FTC_ID002,P_to_C,P05,C05,"0,60000",0.6
pseudoprofile_FTC_ID002,P_to_C,P05,C06,"0,50000",0.5
pseudoprofile_FTC_ID002,P_to_C,P06,C01,"0,60000",0.6
pseudoprofile_FTC_ID002,P_to_C,P06,C02,"0,46000",0.46
pseudoprofile_FTC_ID002,P_to_C,P06,C03,"0,58000",0.58
pseudoprofile_FTC_ID002,P_to_C,P06,C04,"0,65000",0.65
pseudoprofile_FTC_ID002,P_to_C,P06,C05,"0,48000",0.48
pseudoprofile_FTC_ID002,P_to_C,P06,C06,"0,55000",0.55
