pseudoprofile_id,edge_type,from_var_id,to_var_id,expected_sign,relation_interpretation,lag_spec,estimated_relevance_0_1,estimated_relevance_tier,notes
pseudoprofile_FTC_ID002,P_to_C,P02,C01,monotonic_positive,hypothesized_direct_causal,0-6h,0.65,high,P02→C01
pseudoprofile_FTC_ID002,P_to_C,P01,C01,monotonic_negative,hypothesized_direct_causal,0-6h,0.6,high,P01→C01
pseudoprofile_FTC_ID002,P_to_C,P04,C01,unknown,unknown,0-6h,0.6,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P06,C01,unknown,unknown,0-6h,0.6,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P03,C02,monotonic_positive,hypothesized_direct_causal,0-6h,0.6,high,P03→C02
pseudoprofile_FTC_ID002,P_to_C,P04,C02,monotonic_positive,hypothesized_direct_causal,0-6h,0.6,high,P04→C02
pseudoprofile_FTC_ID002,P_to_C,P01,C02,monotonic_negative,hypothesized_direct_causal,0-6h,0.5,medium,P01→C02
pseudoprofile_FTC_ID002,P_to_C,P02,C02,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P04,C03,monotonic_negative,hypothesized_direct_causal,0-6h,0.7,high,P04→C03
pseudoprofile_FTC_ID002,P_to_C,P05,C03,monotonic_negative,hypothesized_direct_causal,0-6h,0.65,high,P05→C03
pseudoprofile_FTC_ID002,P_to_C,P06,C03,unknown,unknown,0-6h,0.58,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P02,C03,unknown,unknown,0-6h,0.45,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P06,C04,monotonic_negative,hypothesized_direct_causal,0-6h,0.65,high,P06→C04
pseudoprofile_FTC_ID002,P_to_C,P05,C04,unknown,unknown,0-6h,0.55,high,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P03,C04,monotonic_negative,hypothesized_direct_causal,0-6h,0.5,medium,P03→C04
pseudoprofile_FTC_ID002,P_to_C,P04,C04,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P04,C05,monotonic_negative,hypothesized_direct_causal,0-6h,0.6,high,P04→C05
pseudoprofile_FTC_ID002,P_to_C,P05,C05,monotonic_negative,hypothesized_direct_causal,0-6h,0.6,high,P05→C05
pseudoprofile_FTC_ID002,P_to_C,P02,C05,unknown,unknown,0-6h,0.5,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P06,C05,unknown,unknown,0-6h,0.48,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P06,C06,monotonic_negative,hypothesized_direct_causal,0-6h,0.55,high,P06→C06
pseudoprofile_FTC_ID002,P_to_C,P05,C06,monotonic_negative,hypothesized_direct_causal,0-6h,0.5,medium,P05→C06
pseudoprofile_FTC_ID002,P_to_C,P04,C06,unknown,unknown,0-6h,0.4,medium,Auto-selected top incoming edge from dense grid (deterministic fix).
pseudoprofile_FTC_ID002,P_to_C,P02,C06,unknown,unknown,0-6h,0.29,low,Auto-selected top incoming edge from dense grid (deterministic fix).
