pseudoprofile_id,matrix,from_var_id,to_var_id,relevance_score_0_1_comma5,relevance_score_0_1_float
pseudoprofile_FTC_ID002,P_to_P,P01,P02,"0,32000",0.32
pseudoprofile_FTC_ID002,P_to_P,P01,P03,"0,28000",0.28
pseudoprofile_FTC_ID002,P_to_P,P01,P04,"0,25000",0.25
pseudoprofile_FTC_ID002,P_to_P,P01,P05,"0,30000",0.3
pseudoprofile_FTC_ID002,P_to_P,P01,P06,"0,22000",0.22
pseudoprofile_FTC_ID002,P_to_P,P02,P01,"0,35000",0.35
pseudoprofile_FTC_ID002,P_to_P,P02,P03,"0,40000",0.4
pseudoprofile_FTC_ID002,P_to_P,P02,P04,"0,30000",0.3
pseudoprofile_FTC_ID002,P_to_P,P02,P05,"0,33000",0.33
pseudoprofile_FTC_ID002,P_to_P,P02,P06,"0,29000",0.29
pseudoprofile_FTC_ID002,P_to_P,P03,P01,"0,25000",0.25
pseudoprofile_FTC_ID002,P_to_P,P03,P02,"0,28000",0.28
pseudoprofile_FTC_ID002,P_to_P,P03,P04,"0,31000",0.31
pseudoprofile_FTC_ID002,P_to_P,P03,P05,"0,35000",0.35
pseudoprofile_FTC_ID002,P_to_P,P03,P06,"0,32000",0.32
pseudoprofile_FTC_ID002,P_to_P,P04,P01,"0,22000",0.22
pseudoprofile_FTC_ID002,P_to_P,P04,P02,"0,25000",0.25
pseudoprofile_FTC_ID002,P_to_P,P04,P03,"0,24000",0.24
pseudoprofile_FTC_ID002,P_to_P,P04,P05,"0,28000",0.28
pseudoprofile_FTC_ID002,P_to_P,P04,P06,"0,30000",0.3
pseudoprofile_FTC_ID002,P_to_P,P05,P01,"0,26000",0.26
pseudoprofile_FTC_ID002,P_to_P,P05,P02,"0,27000",0.27
pseudoprofile_FTC_ID002,P_to_P,P05,P03,"0,28000",0.28
pseudoprofile_FTC_ID002,P_to_P,P05,P04,"0,29000",0.29
pseudoprofile_FTC_ID002,P_to_P,P05,P06,"0,31000",0.31
pseudoprofile_FTC_ID002,P_to_P,P06,P01,"0,29000",0.29
pseudoprofile_FTC_ID002,P_to_P,P06,P02,"0,32000",0.32
pseudoprofile_FTC_ID002,P_to_P,P06,P03,"0,28000",0.28
pseudoprofile_FTC_ID002,P_to_P,P06,P04,"0,30000",0.3
pseudoprofile_FTC_ID002,P_to_P,P06,P05,"0,33000",0.33
