t_index,date,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.5185886343893717,0.3495414805610952,0.6066441354762367,0.4912810177373991,0.2399106619172185,0.9530395930440749,0.6697736112760915,0.6629617348924001,4.00316011156289,4.678605403754955,6.219892540206624,,4.979030631477217,3.4301527216085743
1,2025-01-02,,0.2699748851006047,0.5325121390672647,0.4288241731967365,0.21160306315563138,1.0,,0.5057326661389385,3.882883578097437,4.5859963175631195,5.375861524277139,5.424529428290756,4.096523238189525,2.90957729809183
2,2025-01-03,0.2795228263278112,0.23087167018593038,0.5252342260786611,0.4768106434589417,0.39566929766705095,1.0,0.5493705619562145,0.3741542539968676,2.7246253410523806,3.956664324329455,5.299380364732907,4.947232856748939,4.088771572815231,4.05551243682118
3,2025-01-04,0.34048627006060145,0.15310552510370962,0.2810339873599996,,,1.0,0.47058881829249166,0.3095249849656647,2.93249485507367,4.047117801586978,4.848163002701007,3.992466992770542,3.445211682388909,3.7450450209614106
4,2025-01-05,0.2579280968490657,,0.35260211963331034,,,0.9619619183448498,0.2097276772066105,0.3031124194778177,,3.63547405853818,4.615593515853186,3.7896396888771857,2.4854354178422255,3.072046657972809
5,2025-01-06,0.2940910097786477,,0.47121711833165025,0.4538794541383565,0.10003979581169677,,0.3085852561824914,0.37149041172561414,4.011958664434753,4.195724669362997,4.5629241255120405,4.2789806962668635,2.3081209176451707,3.4837048278380762
6,2025-01-07,0.4053340236219052,0.011369584853348047,0.3225895760312959,0.4411579445427812,0.0,0.8439214575043701,,0.16562957872335887,3.3983578041308036,,4.117252888091905,5.165003663865077,3.089472577454286,
7,2025-01-08,0.3419540655582834,0.07112214187738304,0.31982145106137755,0.36207961394791943,0.0,0.7075400793851474,0.3175705307679015,0.09676471442506698,3.0337189932679918,3.810030748133575,4.24276045218542,3.811089219401772,1.6578622261866256,
8,2025-01-09,0.3951312390663059,0.06870595951023944,0.2794787580948332,0.2735846576793658,0.029982885680586137,0.6548283676678035,0.38278776461801756,0.07400973003973466,3.132374589402512,4.140439378476865,3.9948279592575022,4.173003943905475,0.9434311063371464,2.1153789459140264
9,2025-01-10,,0.13268497661485362,0.25606764794397424,0.1836535763833368,,0.6281461584731156,0.45205409542532254,0.0,3.103321456695262,4.043690662618396,2.952174899324204,3.7942614324108406,0.5967703923777625,1.489074652171016
