code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Episodic tingling in hands/feet,paresthesias_distal_extremities,0.87,
C02,CRITERION,Acute anxiety when sensations occur,alarm_response_to_normal_bodily_signs,0.75,
C03,CRITERION,Symptom–anxiety amplification loop,alarm_response_to_normal_bodily_signs,0.81,
C04,CRITERION,Catastrophic/threat interpretation of sensations,hypervigilance_to_body_sensations,0.72,
C05,CRITERION,Uncertainty about medical cause,misinterpretation_of_bodily_sensations,0.72,
C06,CRITERION,Heightened bodily monitoring/interoceptive focus,hypervigilance_to_body_sensations,0.72,
P01,PREDICTOR,Threat reinterpretation via cognitive reappraisal (CBT) usage,threat_appraisal_reframe,0.82,
P02,PREDICTOR,Interoceptive mindfulness engagement,interoceptive_awareness_practice,0.89,
P03,PREDICTOR,Structured medical communication clarity,informed_consent_clarity,0.72,
P04,PREDICTOR,Diaphragmatic breathing and paced respiration,diaphragmatic_breathing_practice,0.85,
P05,PREDICTOR,Behavioral activation and reduction of bodily monitoring,behavioral_activity_planning_system,0.72,
P06,PREDICTOR,Social support and sense of belonging,boundary_setting_with_support_network,0.72,
P07,PREDICTOR,Sleep optimization and circadian regularity,sleep_diary,0.76,
P08,PREDICTOR,Digital tools usage for well-being (Care_Delivery_Formats),mood_and_context_tracking_tool,0.72,
