code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Altered sense of self since childbirth,parental_role_acceptance,0.75,
C02,CRITERION,Positive emotional bond with the baby,emotional,0.82,
C03,CRITERION,Perceived entrapment / loss of autonomy,feeling,0.85,
C04,CRITERION,Excessive guilt about feelings/parenting,excessive_guilt_or_worthlessness,0.78,
C05,CRITERION,Subjective overwhelm / low coping capacity,feeling,0.65,
C06,CRITERION,Low frustration tolerance / frequent tearfulness,tearfulness_or_emotional_lability,0.88,
C07,CRITERION,Self-criticism after emotional episodes,self_critical_rumination,0.78,
C08,CRITERION,Perceived minimization / lack of validation from others,emotional,0.78,
P01,PREDICTOR,Sleep quality and circadian alignment,sleep_quality_rating,0.88,
P02,PREDICTOR,Emotion regulation skills training,mindfulness_of_current_emotion,0.62,
P03,PREDICTOR,Self-compassion and compassionate self-relating,self_compassion_break_practice,0.82,
P04,PREDICTOR,Identity consolidation / meaning update,meaning_making_from_change_effort_practice,0.72,
P05,PREDICTOR,Social support and respite planning,loneliness_reduction_action_plan,0.58,
P06,PREDICTOR,CBT-based cognitive restructuring and behavioral activation,cbt_cycle_thought_emotion_behavior_map,0.72,
