code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Perceived lack of practical life knowledge,system,0.72,
C02,CRITERION,Financial-management backlog,budgeting,0.72,
C03,CRITERION,Household task completion backlog,organizing,0.66,
C04,CRITERION,Social-maintenance deficit,avoiding,0.72,
C05,CRITERION,Health self-management gap,self,0.62,
C06,CRITERION,Time-management and organizational skills deficit,organizing,0.72,
C07,CRITERION,Negative self-evaluation / shame about life progress,shame,0.78,
C08,CRITERION,Preserved basic functional capacity,optimal,0.72,
P01,PREDICTOR,External time-management scaffolds and routines,plan_do_review_self_management,0.92,
P02,PREDICTOR,Financial management automation and coaching,financial,,
P03,PREDICTOR,Household task management system,task_breakdown_skill,0.92,
P04,PREDICTOR,Social accountability platform,peer_support_checkin_template_for_digital_use_goals,0.78,
P05,PREDICTOR,Health self-management optimization,adherence_reminder_device,0.62,
P06,PREDICTOR,Self-compassion and cognitive reframing,compassionate_self_evaluation_reframe,0.92,
P07,PREDICTOR,Mastery experiences and strength-based framing,graded_task_mastery_planning,0.92,
