code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Intrusive visual replay of the incident,intrusive_reexperiencing_of_traumatic_event,0.78,
C02,CRITERION,Persistent thinking/rumination about the event,intrusive_rumination_frequency,0.72,
C03,CRITERION,Acute physiological reaction to feedback,bodily,0.58,
C04,CRITERION,Anticipatory fear of humiliation,anticipatory_anxiety_in_social_evaluative_contexts,0.75,
C05,CRITERION,Lowered threshold for perceiving criticism,catastrophizing_neutral_feedback_as_criticism,0.82,
P01,PREDICTOR,Sleep_Circadian_Entraining_Behavior,exercise_timing_circadian_cue,0.82,
P02,PREDICTOR,Digital_Tools_and_Supports_Usage,guided_journaling_app,0.58,
P03,PREDICTOR,Mindfulness_Practices_and_Decentering,decentering_practice,0.72,
P04,PREDICTOR,Exposure_Practice_and_Social_Feedback_Safety,social_evaluation_exposure,0.92,
P05,PREDICTOR,Social_Support_and_Belonging_Engagement,social_isolation_outreach_service,0.58,
