code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Early-morning awakening (sleep maintenance),early_morning_awakening,0.82,
C02,CRITERION,Sleep onset ability,subjective_sleep_onset_latency_report,0.78,
C03,CRITERION,Immediate cognitive/physiological arousal on awakening,morning_hyperarousal_signs_post_awakening,0.84,
C04,CRITERION,In-bed/device-mediated engagement during attempted rest,reduced_alertness_during_high_demand_activities,0.65,
C05,CRITERION,Exposure to distressing/ruminative content,intrusive_rumination_post_awakening,0.74,
C06,CRITERION,Daytime functional impairment by midday,impaired_daytime_functioning,0.85,
P01,PREDICTOR,Morning light exposure (circadian entrainment),morning_bright_light_exposure,0.85,
P02,PREDICTOR,Evening screen exposure before bed,late_evening_screen_reduction,0.78,
P03,PREDICTOR,Pre-sleep cognitive load and rumination,presleep_detachment_routine_design_psychological,0.72,
P04,PREDICTOR,Sleep routine adherence (stimulus-control bed setup),cbti_sleep_maintenance_plan_implementation,0.82,
P05,PREDICTOR,Bedroom sleep environment quality,bedroom_thermal_zoning,0.63,
P06,PREDICTOR,Midday energy / daytime functioning cue,ema_mental_energy,0.92,
