code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Low task-directed motivation,goal,0.72,
C02,CRITERION,Elevated anticipatory anxiety,anticipatory_anxiety_before_performance,0.88,
C03,CRITERION,Difficulty initiating tasks (action initiation deficit),loss_of_items_needed_for_tasks,0.75,
C04,CRITERION,Perseverative feedback loop between anxiety and inaction,repetitive_negative_rumination_cycles,0.92,
C05,CRITERION,Behavioral avoidance/inactivity,activity_avoidance_due_to_pain,0.52,
C06,CRITERION,Negative emotional state (feeling awful),feeling,0.85,
C07,CRITERION,Self-critical interpretation of the situation,self_critical_rumination,0.78,
P01,PREDICTOR,Behavioral Activation (structured scheduling + micro-goals),behavioral_activation_scheduling,0.85,
P02,PREDICTOR,Task initiation cues (start rituals),task_initiation_cues,0.92,
P03,PREDICTOR,"Self-monitoring, feedback loop (progress monitoring)",sct_self_monitoring_goals_and_feedback_loop,0.9,
P04,PREDICTOR,Implementation intentions/self-management priming,implementation_intention_ifthen_plans,0.92,
P05,PREDICTOR,Sleep circadian entrainment (circadian alignment),dawn_simulation_alarm,0.75,
P06,PREDICTOR,Brief daily movement (neurochemical activation),walking_meetings_framework,0.72,
