t_index,date,P01,P02,P03,P04,P05,P06,C01,C02,C03,C04,C05,C06,C07
0,2025-01-01,0.8174826132422137,0.22116580766214367,0.41527525868366955,0.4906234437233468,0.5292402116573648,,4.572438431539719,5.893781858260992,3.8906409721211745,3.395444577317407,7.062269718823304,,
1,2025-01-02,0.7220226035217023,0.2224040072429872,0.40299282817997023,0.557135363484838,0.5638318793882328,0.4940620941963479,4.303604848907934,6.062092253687832,3.1070024642832257,,5.987347719197507,4.593896590723969,4.702086195922889
2,2025-01-03,0.6654847397449752,0.1774737729586474,0.2482944228705896,0.5990982177598496,0.6132176791804904,0.5590611931094944,3.6076548387370257,5.404715220175728,,,5.964124218853696,4.545445553184131,4.582449282082667
3,2025-01-04,0.5735882186149599,0.12862566273267048,0.2539904863698707,,0.4627968383387864,0.6417034378476012,2.587881936692744,5.031685435295767,2.8376288738033404,,6.0711699861435,5.161356710997076,3.3676430868313445
4,2025-01-05,,,0.14662783634040913,0.4998674367876194,0.5386141151969571,0.5365129464821735,3.7068642323389502,3.850877686564906,2.286535302670014,,5.091509038235387,,3.0344100661881686
5,2025-01-06,0.5331259453616692,,,0.30436015829231405,0.5188706647486128,0.37961991792492833,3.965717250070311,3.352848780251756,2.5402759807229103,,,,3.466579141722295
6,2025-01-07,0.352397523279567,,0.3287320611393534,0.23441988379289858,0.5683478294362865,0.24579548777069116,4.681584953039488,3.659683305113375,2.2144524196685658,,,,3.665976122238988
7,2025-01-08,0.3625143466682095,,0.2950247098927965,,,0.19820327802589474,4.093246563840922,,1.5930538676026194,1.9207029190386642,5.15158936665948,5.380275191450971,3.4577988900277714
8,2025-01-09,0.4784518603907383,,0.16063997429063054,0.07825672118875968,,,3.094040705692987,,1.987827059423639,2.068305546259754,,,2.496791420562717
9,2025-01-10,0.33839220451583896,,0.2440266373376083,,,,3.0039151226781273,2.9650353759631787,1.8719265500731157,2.0608968227956797,4.881765615916624,5.485846076318807,2.1191531776808072
10,2025-01-11,0.34354237602039095,,0.3458632784769112,0.028312454574941193,0.684604414103102,0.20438199969429083,2.630891963252843,3.5740926772926325,1.8379337668574167,2.6874834593784684,5.412448131605841,5.119362337746569,
11,2025-01-12,0.34223963663044044,,0.40055682928574265,0.0,0.6027732946755846,0.1393004066216371,2.787744045628454,,,,4.661460859124378,,3.08266352694865
12,2025-01-13,0.3382321444017649,,0.3950541512570156,0.0,0.5874969405386534,0.1753680013329927,3.151290458708916,,3.3529559871746546,3.2811570058151287,,,2.7783284001183803
13,2025-01-14,,,0.2547600336755214,0.0,0.5885602324538687,0.15333497992541775,,3.8514128983600977,3.5379081877709013,,4.142206258651799,4.956079053654214,
14,2025-01-15,0.23499118185645912,0.0,0.12307198512483175,0.09310233063396417,0.5681064994309456,0.0,,4.060357626169373,3.112191245216019,2.5465633493091393,5.087721349774326,,
15,2025-01-16,0.2915053802073657,0.0,0.17461154843493304,0.2506725685068271,0.5432272377966393,0.04410936265081074,,4.2454528655629655,,2.5854226563787424,5.176389839227999,4.307617758252042,
16,2025-01-17,,0.0,0.2807368461925943,0.1814379573729351,0.4042062963664068,0.09776808635853365,,4.332027711408003,2.2285717194389205,0.9894004767237332,4.8989712415514175,4.8761148566166606,
17,2025-01-18,0.21546114711570588,0.0,0.16588141090742542,0.17428245216718552,0.31855787821408543,0.06284103736769386,2.3531514769183683,3.9348719589947927,2.790811509902199,,5.02450214504946,,
18,2025-01-19,0.2903600437787956,0.0,0.231972909179227,0.22829594353303012,0.27747962074351384,0.05469310386383953,2.355005463227186,,3.1313458482253718,1.2788759844019277,4.542327190688962,,2.6955972023309704
19,2025-01-20,0.1699784226080282,0.0666416562690147,0.17838733296701162,0.24205652030939484,0.24327626633971813,0.006658775773049061,2.439845816079073,2.9758440646466373,3.477920763425727,2.0767239421615153,4.650307057730005,5.7778850256951255,3.379043762033335
20,2025-01-21,0.13209861054784142,0.16032728961025522,0.2989094832690541,0.24350332985763656,0.25819699147803,0.09113902278913982,2.4795411950515183,2.9227814617331735,,2.2723559376661937,4.578582365752534,,2.9838791578850725
21,2025-01-22,0.152686177507117,0.24721593691561725,0.24008407424214204,0.26181489746143716,0.3401669717487121,0.0,2.4671795812759254,,,2.579446532192433,,4.579885228709508,3.727187622887288
22,2025-01-23,,0.27265777226152577,0.38746955720457066,0.272605756973905,0.37754153099191246,0.0,,2.9092464873086112,3.8606855022033164,3.0480192439326848,,4.401575565354329,4.126880806693829
23,2025-01-24,0.1360795229870551,0.23940337735106937,0.42745530276474547,0.27498526591670613,0.36784775959012583,0.0015887238599693373,,2.96339874659666,2.6301004690236782,2.5570032563260283,,4.487546499981134,2.454084108042115
24,2025-01-25,0.1189117239579189,0.27019481508974486,0.42699212386272933,0.4287335773933786,0.5576976373110911,,2.033535737557812,2.5602949444873433,,2.521608425984814,3.2613779901881412,3.538591510212235,2.10758718922047
25,2025-01-26,0.08759799661542692,0.11084586681641556,0.22018774447684725,0.5588835949591321,0.3341050971429689,0.1291701217951983,2.8820675630783725,,3.3580627179338065,2.7962487920787766,2.3577267141087725,3.2018784304178545,1.699957861813501
26,2025-01-27,0.09836767229156929,0.14329112853129,0.21037054467070598,0.43944640265305723,0.3569586657336261,0.12731542067316465,3.2031526941599786,,2.863207783757704,2.6037819091227528,2.605779812777382,3.79701728956604,2.9427921440858387
27,2025-01-28,0.11373525614319369,0.051803760086590156,,0.33910995776268926,0.18768166217909701,0.2041819988039787,3.320518643597512,2.465400245902739,,,2.794172831921587,,3.104374140805317
28,2025-01-29,0.1558233878749025,0.0,0.30244927901540575,0.34900690682790203,0.2213365297270476,0.29287174322925447,3.205845669847016,3.0924120122248584,2.7860494271449054,2.370726405230615,2.5460488700208965,4.527315920729763,3.084531352238628
29,2025-01-30,0.13944058418115762,0.006487731723277103,0.2547149278178696,,0.13155751470869098,0.20219916452244033,2.286268513063548,3.1554137574478722,,2.2429986342419963,1.9556085212344827,4.074641926238794,2.9663901706806595
30,2025-01-31,0.07715217742954958,0.09681692817468018,0.44802681970754754,0.21062752126412157,0.15101119913012004,0.22327606976401954,2.6148932118316677,3.26152621600066,,3.9458050858290057,1.885739871852091,3.6545899359782057,3.2192217895135724
31,2025-02-01,0.10247631978710887,0.11777897233545255,0.352352267395364,0.2933234409719886,0.27312021110064644,0.34346289212930825,2.8119216604440878,4.170290045146118,3.8387571839889443,3.577460018760306,1.8972484697725363,2.4374770959459466,
32,2025-02-02,0.1736465483234745,0.17288047097678402,0.3054361428583546,0.4015610415757764,0.33763821904070074,0.2411015953804864,3.4186285894546957,4.761585996960068,2.992633625637878,4.410716873148867,1.9574771759543168,3.0979809828705878,3.527675894837998
33,2025-02-03,0.19336026863201333,0.07961560651946335,,0.40739437117845473,0.31723992301304266,0.3812297639527021,3.3933154658810967,4.990894746453767,3.4472885666341027,3.9986160590980617,2.80227204546159,3.363726537337429,
34,2025-02-04,0.1409806117764786,0.049907716412345385,0.11936548459999996,0.5915877135759047,,0.13347232492715427,3.7704337273129562,4.392150879832275,3.418299637692121,4.497331888952043,2.0123867311507544,3.1074571976439396,
35,2025-02-05,0.20770439348163622,0.03125884346940797,0.15946267239760353,0.5945891102407788,0.39950222755763976,0.22135197562922368,,3.5054463134900193,,4.542039635596066,2.4939719980605055,,
36,2025-02-06,,0.04072541143950447,0.35036671941506214,,0.5128995383364019,0.21888074228234175,2.9208730480786653,3.30319659797232,,4.524863283636798,1.9948712097372614,2.293811037276803,
37,2025-02-07,0.2314356073500012,0.12252480816408037,0.44486628200216427,0.35886209192458507,,,2.5504282730903776,3.2383252253439303,,4.789804759481401,2.0441794654169056,2.0820517926130178,
38,2025-02-08,0.2949586951404839,0.21840169139042853,0.3148189984636792,0.2981755053190501,0.2675076039926606,0.4427737093823467,3.1989796482690513,2.9211198421583315,,4.6417687857287575,2.2898875193318813,1.5152736627622014,
39,2025-02-09,0.2734121739407683,0.20158277913147732,0.3278477055353601,0.24975286009931108,0.23575900151451115,0.31660949952636863,2.9521981889142097,2.916240482693344,,,2.6552931518448957,2.476523488448286,4.076780836376967
40,2025-02-10,0.4728058045468754,0.3442059472859762,0.49667302544388525,0.23540740922191922,0.23527353189982375,0.32911514543738496,,3.5809299304714117,,3.828105085158579,2.109196275178805,2.6990434948398794,4.105246751189654
41,2025-02-11,0.2706465215053496,0.2426398281682959,0.5120888887520699,0.20593939777205308,0.21404676273716453,0.47382014395662064,,3.5113359222856375,,4.165198259588993,2.4257311135829496,2.5496050032053,3.5946444133285755
42,2025-02-12,0.26230872754774104,0.23141653024329956,,,0.2341312069800918,0.5018819756949255,3.9307437592614827,3.470017039182053,,4.066722198327656,2.7495989453594643,2.695664231915364,3.936513305693466
43,2025-02-13,0.412265050602892,0.25480241366332074,0.43009276145520725,0.3212042396430012,0.26460780394682965,0.33261056747079654,4.052179099489042,3.9105825193703807,,3.409454204965761,2.796742549082987,3.458810975075965,
44,2025-02-14,0.4228473494264513,0.12453972131339808,0.604134573273235,0.2080784925680029,0.4005216975398621,,,,,3.8661611078664606,2.793504089258112,3.156454833956436,3.745086066527998
45,2025-02-15,0.26682257459027076,0.06746281483997921,0.5017879730831369,0.1516737996917596,0.34703530662686444,0.22632781930046478,3.6419631669251364,3.769096561610174,4.859783678146036,4.034734031494492,,3.68580541222682,4.066788008327969
46,2025-02-16,0.29656053930336357,0.050116874622492966,0.41521555513741226,0.2019263714996179,0.5471917010895846,0.11145885285342919,,4.840365475333863,5.056824670144238,5.76490861309964,3.962980526574084,4.157797295888365,4.370967339244555
47,2025-02-17,0.10510237327061525,0.1542847630778404,0.4088476862338014,0.11551279320170824,0.33767042542717296,0.0,2.682594808422156,4.130334868511061,4.799082818717693,5.328877294717733,3.794912664297712,4.1164716924580995,5.601525446461546
48,2025-02-18,0.1307490871850774,0.2501143974788366,0.22740981020612747,0.22260854372866035,0.3631342507165269,0.13934578637560796,3.1748589693263427,,,4.688815920513082,4.0221043260140155,4.321238105427516,5.907324990798087
49,2025-02-19,0.0,0.012962316256050016,,0.2824574058676656,0.3993841849023981,,,4.698745980137048,5.433680754666177,4.963611361454808,5.821927926429051,4.265976909288134,7.221119492752504
50,2025-02-20,0.027072242017696382,0.28046643110512837,0.4012601799392408,0.09781627173659432,,0.0034292862860416107,4.048742123681171,3.5203552352583793,,5.050406439995753,,,7.713924753281648
