code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Nightmare-triggered awakenings (occurrence),nocturnal_awakenings_due_to_nightmares,0.78,
C02,CRITERION,Nightmare vividness/intensity,vivid_dreams,0.62,
C03,CRITERION,Anticipatory fear of sleep / reluctance to go to bed,physiological_arousal_at_bedtime,0.82,
C04,CRITERION,Acute autonomic arousal on awakening,autonomic_arousal_during_nightmares,0.72,
C05,CRITERION,Prolonged post-awakening activation,sleep_inertia_post_awakening,0.92,
C06,CRITERION,Difficulty resuming sleep after nightmare awakenings,sleep_maintenance_difficulty,0.62,
P01,PREDICTOR,Imagery Rehearsal Therapy training in bedtime routine,nightmare_imagery_rehearsal,0.85,
P02,PREDICTOR,CBT-I components + sleep environment optimization,cbti_sleep_restriction_implementation,0.62,
P03,PREDICTOR,HRV biofeedback training before sleep,hrv_guided_breathing_tool,0.84,
P04,PREDICTOR,Mindfulness sleep-related interoceptive awareness training,interoceptive_awareness_training,0.78,
P05,PREDICTOR,Post awakening grounding and paced breathing,paced_breathing_practice,0.62,
P06,PREDICTOR,Sleep environment optimization (bedroom factors),bedding_thermal_optimization,0.82,
P07,PREDICTOR,Wearable sleep and arousal monitoring with feedback,sleep_tracker_wearable,0.88,
