t_index,date,P01,P02,P03,P04,P05,P06,P07,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.6370288325169612,0.6011468235160798,0.6611668967038132,0.658558298546813,0.6364924205015813,0.0736750342637113,0.5389157963305758,5.3389159456073845,4.07420221555627,4.9005991208601865,3.987498406349363,6.315777327805037,4.520888788586434
1,2025-01-02,0.5468925237233316,0.38746462484756494,0.5998921969773603,0.5494475871734019,0.5164278224740825,0.18470685823899635,0.5724022143035025,4.821510035139953,3.2631712045554004,5.12897609909387,3.735002434671185,,
2,2025-01-03,0.5147701265181504,0.3686716111655312,0.5855238008307395,,0.44117761943854694,0.31757083162385535,,3.903372581579557,,,,5.497488971479597,
3,2025-01-04,0.3217704606670039,0.3056900056494578,,,0.30447946391491765,0.3255354447902383,,3.7643109451079853,2.4986105454002505,4.077840862352325,3.894820960739591,4.43372684670567,3.917748059379175
4,2025-01-05,0.19258190237917527,0.17680609916825826,0.5032341890917225,0.48640277181969854,0.26731634603414367,0.33368326581656227,,3.121252239316833,2.6714981276511804,4.010151558456987,3.731625958540712,4.150834165925251,3.9732676448035678
5,2025-01-06,0.22696525870951922,0.02293173736441688,0.47003501521876234,0.347534319295082,0.12132074130929249,0.09104943752399683,,,3.5806280807168065,4.243242220320636,4.78384389205897,4.176516039825628,4.179695135758578
6,2025-01-07,0.2585967875418939,0.10765078910427184,0.34757508180840796,0.4901403953388461,,0.0883439025107307,0.3758456149629335,3.6129569595094897,4.164093181047734,4.782950955687473,4.551312470487242,4.128931303553379,4.578994799379829
7,2025-01-08,0.07222865289521965,,0.2981109212342014,0.4307130883529867,,0.0,0.22614870874875914,3.603995157105568,3.1853329952444263,4.930434547565657,3.9699261125687886,4.917783666859039,4.990102462584553
8,2025-01-09,0.14470738069431943,0.25439508649573167,0.29274560821731316,0.3614254690370332,,0.0,0.35751809186091,,4.049701108309684,,3.2733208938554434,4.676886952165059,
9,2025-01-10,0.36235698476016687,0.11541260584108376,0.2941368204518675,0.28627680085844603,,0.0,0.3173700002652324,3.5351926375492466,4.012564716627991,4.537493835984452,3.021810180599878,4.0385578045640536,3.8479540441485227
