code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,High frequency of spontaneous thoughts (racing thoughts),racing_thoughts,0.72,
C02,CRITERION,Reduced sustained attention on a single activity,sustainedattention,0.78,
C03,CRITERION,High frequency of task-unrelated thoughts during passive tasks,sustained_attention,0.66,
C04,CRITERION,Perceived inability to volitionally quiet thoughts,thoughtquieting,0.92,
C05,CRITERION,Subjective internal mental 'noise' or buzzing,rumination_impairs_concentration_or_task_performance,0.62,
C06,CRITERION,Negative impact on enjoyment/engagement due to mental chatter,engagingtasks,0.75,
P01,PREDICTOR,Attention_Systems_Training (BIO),attention_quality_rating,,
P02,PREDICTOR,Mindfulness_Based_Interventions (PSYCHO),noting_practice_basic,0.72,
P03,PREDICTOR,Sleep_Routines_and_Practices (BIO),sleep_tracker_wearable,0.65,
P04,PREDICTOR,Behavioral_Activation_and_CBT_Skills (PSYCHO),behavioral_activation_scheduling,0.82,
P05,PREDICTOR,Aerobic_Cardiorespiratory_Exercise (BIO),walking,0.66,
P06,PREDICTOR,Structured_Social_Support_and_Belonging (SOCIAL),belonging_and_community_fit_assessment,0.72,
