code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Low frustration tolerance / irritability,irritable,0.77,
C02,CRITERION,Heightened sensitivity to specific triggers,distress_in_response_to_cues,0.62,
C03,CRITERION,Post-episode emotional collapse (crying),emotional_numbing_or_detachment,0.72,
C04,CRITERION,Self-directed distress / loss of self-recognition,emotional_numbing_or_reduced_affect,0.62,
C05,CRITERION,Intention to be kind vs failure to enact it,kindness,0.78,
C06,CRITERION,Maladaptive immediate coping (withdrawal/crying),emotional,0.78,
C07,CRITERION,Interpersonal strain / relationship impact,emotional,0.62,
P01,PREDICTOR,Emotion Regulation Skills Training (Broad),emotion_intensity_rating_framework,0.62,
P02,PREDICTOR,Trigger/Environment Modification,reduce_exposure_to_triggering_contexts_strategy,0.72,
P03,PREDICTOR,Couple Communication Skills for Repair,repair_attempt_practice_for_couples,0.85,
P04,PREDICTOR,Self-Compassion & Distress Processing,self_criticism_to_care_reframe,0.85,
P05,PREDICTOR,Adaptive Self-Monitoring & Feedback,ema_perceived_coping_effectiveness,0.82,
P06,PREDICTOR,Mindfulness-Based Regulation & Distress Tolerance,mindful_response_to_stress_practice,0.75,
