code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Rate of small work errors,careless_errors_in_tasks,0.82,
C02,CRITERION,Catastrophic job-loss expectation (anticipatory fear),fear_that_something_awful_may_happen,0.58,
C03,CRITERION,Compensatory overwork (working late),excessive_work_hours_persisting_outside_expectations,0.78,
C04,CRITERION,Daytime tiredness/fatigue,daytime_fatigue_intensity,0.85,
C05,CRITERION,Attention/cognitive performance decline linked to fatigue,cognitive_fatigue,0.82,
P01,PREDICTOR,Sleep regularization and sleep hygiene,sleep_quality_rating,0.92,
P02,PREDICTOR,Structured fatigue-energy management with planned microbreaks,mental_energy_rating,0.78,
P03,PREDICTOR,Pre-task checklists and error-proofing routines,checklists_for_error_prevention,0.92,
P04,PREDICTOR,Boundary-setting and supervisor alignment to cap overtime,stress_load_boundary_setting_practice,0.85,
P05,PREDICTOR,External cognitive offloading tools and prompts,external_aids_use_training,0.78,
P06,PREDICTOR,Cognitive restructuring and resilience training (threat appraisal),threat_appraisal_reframe,0.82,
P07,PREDICTOR,Structured social support and supervisor feedback loop,feedback_conversation_support,0.85,
