code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Perceived belonging at work,being,0.78,
C02,CRITERION,Perceived belonging with friends,social,0.72,
C03,CRITERION,Perceived acceptance by family,emotional,0.66,
C04,CRITERION,Effortful inauthentic self-presentation (masking),personalpresentation,0.62,
C05,CRITERION,Social/psych exhaustion from role management,feeling,0.62,
C06,CRITERION,Global sense of non-belonging / negative self-concept,self_concept,0.58,
P01,PREDICTOR,Sleep_Routines_and_Practices,wind_down_routine,0.82,
P02,PREDICTOR,Identity_Consolidation_Strategies,identity_consistent_daily_commitment_practice,0.72,
P03,PREDICTOR,Network_Building_And_Maintenance,belonging_and_community_fit_assessment,0.82,
P04,PREDICTOR,Microbiome_GutBrain_Axis_Support,gos,0.72,
P05,PREDICTOR,Shame_Guilt_and_Self_Forgiveness,self_compassion_in_shame_moment,0.78,
P06,PREDICTOR,Behavior_Change_and_Activation,implementation_intention_activation,0.92,
