code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Forgetting to eat during the day,forgetting,,
C02,CRITERION,Large hunger increase at night (compensatory starvation),nighttime_food_craving,0.72,
C03,CRITERION,Making poor food choices when very hungry,nighttime_craving_for_high_calorie_foods,0.72,
C04,CRITERION,Perceived breakdown of internal hunger cues,interoceptive_hypervigilance_gastric_signals,0.72,
C05,CRITERION,Lack of intentional food restriction or dieting,dietary_autonomy,0.72,
C06,CRITERION,Daytime attention/organizational factors contributing to missed meals,creating,0.78,
P01,PREDICTOR,Meal_Planning_Structure,planned_snack_structure,0.78,
P02,PREDICTOR,Mindful_Eating_Practice,mindful_eating_practice,0.78,
P03,PREDICTOR,Environment_Design_For_Eating,environment_design_for_eating,0.92,
P04,PREDICTOR,Planned_Snack_Structure,planned_snack_structure,0.95,
