variable,type_inferred,n_total,n_nonmissing_raw,missing_pct_raw,imputed_used,trend_slope_or_beta,trend_p,regressed_pct_change_vs_scale,autocorr_lag1,ljung_box_p,adf_p,kpss_p
P01,proportion,180,163,0.09444444444444444,True,0.0017561506870519637,5.186248847771318e-07,31.713464793921332,0.8423859372917859,1.1688826863815592e-101,0.0016221286604446421,0.01
P02,proportion,180,150,0.16666666666666663,True,0.0031140605880238554,6.484181286451595e-24,59.659528673430394,0.8935419438232498,2.92881727913415e-175,0.19848860156917436,0.01
P03,proportion,180,148,0.1777777777777778,True,0.0013160678688700048,7.721715151294151e-08,26.924919437394184,0.88774637761943,1.5549162568238936e-107,0.018586600821338724,0.08295681113807712
P04,proportion,180,168,0.06666666666666665,True,0.0025973778544797444,1.1090360289021509e-11,46.49306359518744,0.8776948504474875,6.547068434043776e-100,0.01213510917854761,0.01
P05,proportion,180,149,0.17222222222222228,True,0.0029235140974604354,6.804265988171666e-14,52.3309023445418,0.9000372663366104,1.7716144881070834e-151,0.019048482896849836,0.01
P06,proportion,180,148,0.1777777777777778,True,0.0023482571394722873,9.431609194909705e-17,42.03380279655394,0.8917841325835782,3.1969867826816535e-133,0.018185136922139022,0.01
P07,proportion,180,141,0.21666666666666667,True,-0.00034176675583236937,0.20753327193142657,-6.751847004674735,0.8694897015193848,1.238651930407551e-91,0.008037951242057865,0.1
P08,proportion,180,152,0.15555555555555556,True,0.0020995947799537697,5.704478207034388e-18,49.27440653496215,0.8227431436548593,1.4362035545809854e-88,0.0005919409767701314,0.01
C01,continuous,180,160,0.11111111111111116,True,-0.001869490757349864,0.20373537151930599,-4.756442565937853,0.9063599046006884,1.1107431274048249e-137,0.015903605484933445,0.1
C02,continuous,180,145,0.19444444444444442,True,-0.005591391205215924,0.0029062049277377793,-15.254247060851094,0.8692530016997786,8.366864902256664e-99,0.006480954423350123,0.1
C03,continuous,180,140,0.2222222222222222,True,0.01804795247236368,2.709550300037556e-15,39.2334903042933,0.9327750031344251,9.136980809049798e-160,0.13909753444340278,0.011171202609287703
C04,continuous,180,142,0.21111111111111114,True,-0.0034151232365659005,0.11731491940991971,-8.243011761533252,0.8598367853063992,2.249337782314581e-88,0.004302518651817431,0.1
C05,continuous,180,115,0.36111111111111116,True,-0.008246077404705194,3.263809227819162e-05,-24.216781241250008,0.9125713941719581,9.42494111253346e-132,0.03575493807141899,0.05680406543920009
C06,continuous,180,140,0.2222222222222222,True,0.0045691943380703065,0.07019415940641663,9.874250017989523,0.9248557713615106,6.823143255645286e-144,0.08492492314448385,0.1
