t_index,date,P01,P02,P03,P04,P05,C01,C02,C03,C04,C05
0,2025-01-01,0.5712186280469509,0.46308445290354955,0.666071726284058,0.641095109279957,0.29003374526506986,6.263251251564701,4.0008438312767005,,4.811145710757078,4.584319164321976
1,2025-01-02,0.2955118578797103,0.48284136570018615,0.7548532405246994,0.5961182585243078,0.519510636755316,6.175189868865415,3.6607629323109436,3.8147117200092424,5.068144973355974,
2,2025-01-03,0.25988314722793393,0.5018289409335305,0.6899304647873866,0.6615098051910229,0.4374224651979006,,3.2417455149612575,3.746831421101866,,4.842600206271812
3,2025-01-04,0.4967190646295763,0.4814280036687976,0.7139156888438248,,0.5242209373612924,5.948983809480137,3.3175481874621817,4.612525582529875,,4.831900956081915
4,2025-01-05,0.4080267048952192,0.5136394104820055,0.782168866731282,0.44274450181377245,0.2881632990815691,5.233107283866529,3.4471833910637346,4.5552597552530685,6.210083210149934,5.076647824197615
5,2025-01-06,0.2757425478702211,0.4610019463975658,0.6392610767344548,0.4275812422816915,0.3595317732389594,,3.3867304678029786,4.976915470268029,6.565825262351377,6.074187593306242
6,2025-01-07,,0.44883582857338794,0.6580162228375421,0.4309846865492847,0.4796251542991418,5.096941704783297,3.5506324138371768,5.047832756756386,5.909472333648458,5.8708292433549305
7,2025-01-08,,0.229273856420628,0.4975604002086002,0.38078788634135413,0.24467234448892808,4.985713857524632,4.031405023911426,4.5710729590200865,4.910606162830487,
8,2025-01-09,,0.029672251744241984,0.6311648865840809,0.3196910809967054,0.36209669677942785,3.41529374158995,2.6975439559366565,3.4234365740793056,5.070697361934267,3.9184408827845716
9,2025-01-10,,0.17734755578232214,0.4457128153786728,0.4116977766320533,0.49367805784350505,3.284769487600025,3.1116482192786283,3.5934400937270548,4.249333981296266,4.705713100627859
10,2025-01-11,0.3265043795893175,,0.3646547446331559,0.31137128913302387,0.22881730324674132,3.9648734959788854,2.6230853930116163,3.538207377848596,3.3652832034201046,5.34282031870783
11,2025-01-12,0.2613685732112579,0.22235319176401935,,0.3503197600948956,0.17886456896613545,3.887120891419373,3.626334028939438,3.738431164589681,4.248745963792266,5.263690165829417
12,2025-01-13,0.3653820283468101,0.12976342637732513,0.5755154624278486,0.1568100088686598,0.17416288541525032,3.295540206369557,,,5.081038650069599,5.6601233063844685
13,2025-01-14,0.3742746522746643,,0.6209971273187305,0.227137374658684,0.3430550953159405,3.9334498248756997,4.170765716216652,,5.4523407444504315,4.798406363240533
14,2025-01-15,,0.10305592975264816,0.6386779128840394,,0.23199683069071997,4.271590552519274,4.004761409928715,3.004812731622221,5.4349353209366384,4.252998738257804
15,2025-01-16,0.4215486475790102,0.1201985997967422,,0.25911581965376185,0.16840136225138205,4.109844776959956,3.6643904743191342,2.9181256701328944,5.306064377646981,3.8789113551680954
16,2025-01-17,0.3600297352340799,0.268210304848125,0.40371908518684,0.28062745705688713,0.31129117743839074,3.8877308294431496,3.3208184847623023,,4.641591677440714,3.4400164121551198
17,2025-01-18,0.2285014548586216,0.21664928006071577,0.37546001009097435,0.27102490900219833,0.36794262060606997,3.6508743253197413,2.7396810046854765,,4.113385284318524,3.8018389537200865
18,2025-01-19,,0.29219075588602356,0.36561133582752486,0.16655841241323088,0.26223243439242994,3.831233530372413,3.031188848734412,3.6146176340405387,4.017956877987624,3.9653352567700018
19,2025-01-20,0.053294133654670464,0.3405097591407508,0.30824009355411774,0.11956839551542385,0.4350630429237208,3.50102717262212,3.561420620318512,,4.319256840450123,3.9867280262311513
20,2025-01-21,0.06149900432676735,0.3134851976513692,0.24423772441680494,0.19372019243431376,0.3449965833655559,3.600978283613108,3.749878367029681,4.122682998238152,4.160986500574417,4.6404254793754145
21,2025-01-22,0.15436786866529473,0.4427969065528561,0.33987339817431655,0.18702417614430758,0.2986029262311693,3.3570582180396387,3.4640052055509623,3.517970028894348,3.71140418696171,3.8997298135836056
22,2025-01-23,0.28474621162694863,0.37001434570030267,0.48648112417126316,0.26751606945105266,0.23842948733234526,2.9682734915607005,3.7505390316654283,3.201289359306032,2.8474382336090542,3.7050846982191787
23,2025-01-24,0.28083750467065827,0.3322503365606703,0.42574032844519205,0.3219181610565724,0.1782681754455725,2.798478973680806,3.118789673943214,,2.6765491398817756,2.7861964168990205
24,2025-01-25,0.22194349166923813,0.21793999442100725,0.47480738431849184,0.27748148358089036,0.48369973525380794,3.045946096670165,3.188712979823686,,2.167283331111351,3.044182374411339
25,2025-01-26,,0.1364381908962875,,0.3119452873476021,0.4051360718264324,2.7517213962092004,3.2118656012748215,,2.796252279124922,
26,2025-01-27,0.20237670326720536,0.15804321592552417,0.39250387345641047,0.2305158210045843,0.34949024510709087,3.410819788366038,3.843967937371257,,,
27,2025-01-28,0.2066198875083348,0.157890638330178,0.36121947464342474,0.04014395069028062,0.38746571112624867,4.004284325562549,3.4205817926436883,,4.070454791812556,2.333988578074793
28,2025-01-29,0.1977218583902799,0.14198520862299885,0.37618023862500916,0.012997067341232398,0.39330404126425134,4.4428946191573875,2.8618894382095257,4.305704657917453,4.25893237429592,2.1772030458886773
29,2025-01-30,0.18156692706425132,0.25123088584722275,0.37863118283334,0.14453799202004403,0.3076440725598712,3.680287067737433,,4.305050592941531,3.8470231909567953,1.5639367647828633
30,2025-01-31,0.20228465708933088,0.1813509295959564,0.34762524656895094,0.34844622477638754,0.2691691521751783,,3.1167943853999125,,4.099009973666764,1.567007742747718
31,2025-02-01,0.32749817268228926,0.18419832186892493,0.3514344375343756,0.3288461630123905,0.2731009899528441,3.5046301420423864,3.23646301719445,3.161659313283259,4.979316222211423,
32,2025-02-02,0.4844996961243266,0.14405990420386738,0.3423882963075998,0.48842866483297664,0.31494399367277104,3.764560133161675,3.898247113629985,2.5224272679777737,4.9899810842894565,0.5623874806069875
33,2025-02-03,0.36358527515757133,0.26041506495492106,0.15895958027359675,0.3888411834669896,0.313369625069779,3.9355594815498307,4.088951097359409,2.6900364343387926,4.668220809351341,0.46481207799328433
34,2025-02-04,,0.20457811728266845,0.12954641359307084,0.42024823074709233,0.28872230265598825,4.917636252743161,4.184433668641793,,5.3208962404583735,0.726467384394755
35,2025-02-05,0.41852976793379526,,0.27354249187546936,0.4225857134364535,,5.028614109542386,5.2001921627470145,3.3032000593262176,5.2673355428198025,1.3141738202006827
36,2025-02-06,0.4704422165792527,0.15894956575709812,0.36445150134661153,,0.38856535839677425,4.413450761945599,4.389350501196597,3.2654883598587663,4.321846662634085,1.4451538409538656
37,2025-02-07,0.5760358158784885,0.018735713863312464,0.4304234133373414,0.37933096243035247,0.26883055920955407,3.4200626809579284,3.092510044347524,2.6300349932905824,4.715297535184257,1.3222190949319688
38,2025-02-08,0.5485268035026207,0.10936794947422261,0.40021202139805334,0.479277800383486,0.16906075618916502,3.7145041787889346,,2.680472674471658,3.9823639786361302,0.5109256402300866
39,2025-02-09,0.5356723157071339,0.1970491405549928,0.39504316755450786,0.44110188953749063,0.3245436534883407,2.819647059670797,,4.6628798979063895,4.548500596812004,0.4782428425440546
40,2025-02-10,0.5788325588607162,0.08921795788852711,0.4308263325949286,0.4514265138679791,0.2728558646295972,,,,5.040184622109049,0.6280301672737462
41,2025-02-11,0.48361429982118453,0.11923510286842941,0.34522643202592235,0.417400382032263,0.19483542054928282,3.4212290625688198,,4.383677155858174,5.347878167022317,0.38061855563174846
42,2025-02-12,0.4108137174634763,0.28163639641099036,0.2885854444934028,0.43942822176067786,0.215260762204331,3.375262515414989,,4.100561777831629,4.355445132258725,
43,2025-02-13,0.35108156948322033,0.19033696226028526,,0.370144347423723,0.35038509526379924,3.4852778353964426,,3.6022174941294844,3.8590182119775753,1.4602716671429223
44,2025-02-14,,0.33732205802013066,,0.5181848542427325,0.36455219924633375,2.387820270530278,,2.8786105745044512,4.745158728704887,1.9715959681772497
45,2025-02-15,,0.31252000976367905,0.49346741689094065,0.43793773127532226,0.21775968310584948,3.716450267834767,,3.737410678763804,5.835067382285587,1.5821526372807404
46,2025-02-16,0.21129568799484477,0.24284707483879664,0.6005118398863458,0.37477139593338754,0.24448352070423127,4.082895237037521,,4.282729737599274,5.870261226634837,0.9387427924764011
47,2025-02-17,0.21646762717872944,0.5353974040383023,,0.3220539415105369,0.3135035519328799,3.890319466827122,,,5.889953976437683,1.17632570624442
48,2025-02-18,0.17801636609204946,0.23236749181698563,,0.32925343796472284,0.4285394536033871,4.078653747584768,4.427829663808302,3.1296254438607174,6.159901570300412,1.3981471407544177
49,2025-02-19,0.15755564808125092,0.25354441608183353,,0.19542875298300816,0.4364556277478213,4.549889518694157,3.9833704443496694,3.6720183226952647,,2.033108836411515
50,2025-02-20,0.24977219237141124,0.2691958610926148,,0.1373965284413156,0.29998629940570287,4.57061260470021,3.5730618208202953,3.7981250687240316,5.150748077444349,1.5225078190985242
51,2025-02-21,0.13244331742887705,0.3266416522956828,0.5622259771292156,0.17617780290640023,0.19796894057133585,4.81583458474754,3.0010701015782137,3.9876387879495483,4.915674705206011,1.2508362671826174
52,2025-02-22,0.1469473771876077,0.2927674650680094,0.5928328391455799,0.20004600461675973,0.2159334205698257,4.400946991765187,3.0252456918693844,3.2678519166347235,4.254321718460957,
53,2025-02-23,0.09278652810058874,0.3445820025296183,0.45884601986554174,0.31916840985197675,0.21543736953600223,4.652169849581545,3.390456959268975,3.3104249768384295,4.428715722440543,0.7405250349232697
54,2025-02-24,0.1642395853419848,0.3608099969876384,,0.15369151837819467,0.2229349893120422,4.619573051430328,4.386456635386822,2.876574190913002,,
55,2025-02-25,0.17697301894312523,0.32491827420752395,0.45771361477678835,0.0,0.33185195930937517,,4.666177160709025,3.1571912530946395,4.04024279972121,
56,2025-02-26,0.10009981164774938,0.20836717587427167,0.3847098391081297,0.0,0.3469937396637988,3.8959324629243812,4.59736401211774,3.172884385941329,,0.8405820087788536
57,2025-02-27,,,0.4271982610612016,0.03860382481946461,0.38863894870591725,3.781274348340702,,3.3720925439491256,4.1566374306091,0.7544808758913142
58,2025-02-28,0.3720383376641542,0.4358566087740705,0.3481735249219065,0.0,0.4876567474287671,3.7591796187795,3.780129501448794,2.6710426707803103,3.7119582538768165,0.7714859791564904
59,2025-03-01,0.17123661317654157,,0.1518037117083417,0.0647400531043798,0.4475547899162413,3.696245120000934,4.078279965205708,,4.3030591761408274,1.836935024232262
60,2025-03-02,0.022410698239270332,0.45023494490712346,0.06627291829816162,0.023058188581245545,0.21336734570465396,4.062749666912498,3.5316715965242595,,3.945377282877477,
61,2025-03-03,0.03047419205685437,0.3683675767076019,0.15252031406175107,0.01288220029026231,0.10388138897149624,3.6161137726071377,,,3.872135352678671,2.9056421374771744
62,2025-03-04,0.0,0.18219682871321624,0.06218139516798925,0.18760787705520246,0.13848186572430635,3.605092395745203,4.13160598559529,,5.167047009595857,2.9449567239692245
63,2025-03-05,0.07749787224715032,0.17209858108680948,0.0,0.11305168149010644,0.22301081520178812,3.2832360189799603,4.1869150255964644,,5.387679899346851,2.7638703424437647
64,2025-03-06,0.06634128990723163,0.2606610455658904,0.04591421813481385,0.138669803266475,0.20254898119653256,3.0575170265681693,4.705009561147748,,5.608995329319862,2.219362438711011
65,2025-03-07,0.1799854117234416,0.22799799161130074,0.0,0.12885426465988375,0.232418287212682,1.9819704009348504,3.5388524773200603,,5.38651582285925,2.6157725723868985
66,2025-03-08,0.2100712119216259,0.28967139487695587,0.04060746201097116,0.07034422625685494,0.36277673091846774,1.4964070079792915,4.5616454230286685,,4.473052421671335,2.744913960294564
67,2025-03-09,0.23678800128524352,0.2779518007633396,,0.19586472798444726,,2.6514282320849887,3.997685709203242,,,3.8147936875320374
68,2025-03-10,0.2790442566793122,0.26907837727902084,0.3527987103720346,0.2359245412473583,0.506841827867942,2.30333263198343,3.6474823726446237,4.589639436487571,,4.073658865020654
69,2025-03-11,0.3297651697959606,0.05106781753403414,0.45464855949394367,0.14249515915980843,0.5217268966023808,1.9253087307512835,3.5021655999591808,5.4044045133227465,,3.749951816473679
70,2025-03-12,0.16577713233388633,0.057597117519485944,0.4760441752226179,0.3438186104765557,0.4053138463760366,3.7562698107798607,2.8592983405411356,3.925903016872883,,3.218359926394902
71,2025-03-13,,0.21730556453498412,0.42124657256555015,0.15463677301092948,0.3170596438965375,3.3463089690685313,3.0926588442867775,,4.730635242838529,3.433721624209431
