code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Daily in-person contact frequency,daily,0.72,
C02,CRITERION,Subjective loneliness / unmet social connection,combatting,0.66,
C03,CRITERION,Work-from-home limiting incidental interactions,in,0.78,
C04,CRITERION,Perceived shrinkage of social presence / reduced social initiative,social_withdrawal_subclinical,0.72,
C05,CRITERION,Proportion of superficial vs meaningful interactions,meaningful,0.82,
P01,PREDICTOR,Daily values-aligned social activation plan,social_connection_investment_plan,0.88,
P02,PREDICTOR,Social initiation practice,social_initiation_practice,0.92,
P03,PREDICTOR,Community participation,volunteer_service_community,0.78,
P04,PREDICTOR,Sleep quality (bio–circadian anchor),sleep_quality_rating,0.92,
P05,PREDICTOR,Online social engagement plan,prosocial_online_participation_plan,0.82,
