code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Elevated resting muscle tension in shoulders and jaw,neck_muscle_tension_associated_with_tmjd,0.65,
C02,CRITERION,Low moment-to-moment awareness of bodily tension,body,0.82,
C03,CRITERION,Headaches triggered by muscular tension,mild_to_moderate_intensity,0.72,
C04,CRITERION,Persistent anticipatory threat expectation,fear_that_something_awful_may_happen,0.75,
C05,CRITERION,Difficulty relaxing on low-stress days,mental,0.68,
C06,CRITERION,Habitual anticipatory muscle bracing in absence of immediate threat,muscle_tension,0.62,
P01,PREDICTOR,PMR_adherence,progressive_muscle_relaxation_practice,0.92,
P02,PREDICTOR,Breathing_practice,diaphragmatic_breathing_practice,0.92,
P03,PREDICTOR,Interoceptive_body_scan_training,body_scan_practice,0.85,
P04,PREDICTOR,Sleep_routine_consistency,sleep_diary,0.71,
P05,PREDICTOR,Jaw_bruxism_sensor,jaw_clench_bruxism_sensor,0.92,
P06,PREDICTOR,Mindfulness_interoception_training,interoceptive_awareness_practice,0.78,
