code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Repetitive intrusive thoughts about global issues,intrusive_ruminative_thoughts_present,0.78,
C02,CRITERION,Persistent background dread / low-grade anxiety,worry,0.82,
C03,CRITERION,Catastrophic expectations about the future,persistent_negative_beliefs_about_safety_and_world,0.72,
C04,CRITERION,Impaired long-term planning and goal-setting,long,0.78,
C05,CRITERION,Attention and cognitive resources occupied by worry,rumination_impairs_concentration_or_task_performance,0.62,
P01,CRITERION,Attention_Systems_Training,sustained_attention,0.78,
P02,CRITERION,Worry_Rumination_Postponement,future_oriented_worry_rumination,0.66,
P03,CRITERION,Mindfulness_Distancing,observingthoughts,0.85,
P04,CRITERION,Structured_Goal_Planning_and_Value_Mapping,aligning,0.72,
P01,PREDICTOR,Attention_Systems_Training,sustained_attention_practice,0.75,
P02,PREDICTOR,Worry_Rumination_Postponement,worry_rumination_postponement,0.92,
P03,PREDICTOR,Mindfulness_Distancing,decentering_practice,0.78,
P04,PREDICTOR,Structured_Goal_Planning_and_Value_Mapping,smart_goal_specification,0.85,
