code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Nighttime replay of past conversations,nocturnal_worried_ruminations,0.85,
C02,CRITERION,Nighttime anticipatory worry / list-making,nocturnal_worried_ruminations,0.82,
C03,CRITERION,Nighttime cognitive hyperarousal,nocturnal_cognitive_arousal,0.92,
C04,CRITERION,Delayed sleep onset (3am bedtime),sleep_onset_difficulty,0.72,
C05,CRITERION,Morning interpersonal irritability,easily_annoyed_or_touchy,0.62,
P01,PREDICTOR,Morning daylight exposure routine,morning_bright_light_exposure,0.72,
P02,PREDICTOR,Evening blue-light exposure reduction,blue_light_reduction_evening,0.82,
P03,PREDICTOR,Presleep detachment/unloading routine,presleep_detachment_routine_design_psychological,0.85,
P04,PREDICTOR,Presleep cognitive worry reduction (worry writing/diffusion),sleep_related_worry_defusion,0.78,
P05,PREDICTOR,Morning routine consistency with light exposure and gentle activity,morning_bright_light_exposure,0.86,
