node,degree,strength_abs,strength_signed,betweenness,closeness,harmonic,eigenvector,pagerank,katz,hits_hub,hits_authority,clustering,core_number,constraint,effective_size,participation_coeff,module_id
P01,6.0,0.27581095060655125,-0.22645779344325268,0.0,0.04350490032820561,0.6510352484083293,0.16984415781903425,0.04789846001947321,0.26274986481517454,,,0.1662803964930603,5.0,0.5395097763468705,3.961808684263179,0.40056308041913713,1
P02,8.0,0.4857520450303082,0.35641542639519397,0.0641025641025641,0.053646568473206264,0.8173302477933688,0.27073799051096614,0.07821437891557965,0.26836775873325824,,,0.15054145212455136,5.0,0.3647855501767182,5.991827392564493,0.5129691687871275,0
P03,7.0,0.44215400135553706,0.3037375768169175,0.08974358974358974,0.05872038919722116,0.9161562956226397,0.24791540029593673,0.07292060432503641,0.2672008852930881,,,0.15359663918850613,5.0,0.4541329854224565,4.829906617561158,0.3330036874500225,1
P04,5.0,0.11045780695650068,0.07273620679125634,0.0,0.02682954746021662,0.36396127787140475,0.05937987739433598,0.025897321199721365,0.25822845031554015,,,0.0678305219694367,4.0,0.43820509547970865,3.787086075343885,0.49995641033678606,1
P05,7.0,0.6285672350366563,0.3421511017540566,0.20512820512820512,0.06154481746761657,1.019121716275185,0.32918565289199997,0.09774549213283103,0.27212468644509447,,,0.16596697895700868,5.0,0.3182345333315838,5.521450597966361,0.6023053214847739,2
P06,6.0,0.3688545079864001,0.012585993665104413,0.0,0.043346578215611796,0.6332932839866084,0.1982471417706297,0.06181707692241816,0.2651889982097321,,,0.17521089826932462,5.0,0.3824876959706396,4.432495329028036,0.6553330528571668,2
P07,6.0,0.378240786662471,-0.07072142380743274,0.01282051282051282,0.04381082825583688,0.6900347503465611,0.19955566078571302,0.06312035469237022,0.26542431416174855,,,0.16235757795418623,5.0,0.4654600048348245,4.633891614040043,0.3488675805563539,1
P08,9.0,0.8490415071484391,0.057380974155796544,0.4358974358974359,0.07234232128620534,1.1738797774833982,0.45227944103412987,0.12771478427887129,0.27809354002390796,,,0.19705053730995115,5.0,0.31315996548527136,6.869434654527719,0.6414273310422687,1
C01,10.0,0.8038892140746507,0.22146997476343283,0.2948717948717949,0.06873622830934123,1.0971151713235734,0.4250132819679836,0.12095240497850643,0.27685948273313454,,,0.1417117748491784,5.0,0.31125862536682325,7.9670187920862885,0.5602296665874275,0
C02,7.0,0.42717750509687585,-0.00892270388783134,0.0,0.05101642803444086,0.7697316671967,0.2518784357296746,0.06779722422144195,0.26683042691302383,,,0.18001449370074893,5.0,0.3759870946161655,5.055154178500854,0.497419147846338,0
C03,5.0,0.19930603147921436,0.18981033575896472,0.0,0.04023469473196028,0.6133733721397994,0.1121571487786413,0.03766250954128499,0.26064465351321825,,,0.07456566519146697,5.0,0.5156866627123688,4.00471567412076,0.28823239283488444,2
C04,3.0,0.27894114294774763,0.27894114294774763,0.0,0.044118262688059955,0.7387602796208769,0.16793732522048127,0.04822984292712797,0.26283448605289655,,,0.25777842219320685,3.0,0.677783671449074,2.2784595699881285,0.08300330429425662,0
C05,6.0,0.4129045719908165,0.2771936961192752,0.0,0.05085574735133514,0.7879773194663368,0.2809871571028313,0.06485207544681644,0.26654845629303925,,,0.25562012636577847,5.0,0.43919954610663803,3.649855010322664,0.6500760279846722,2
C06,5.0,0.5420309119115921,0.5420309119115921,0.05128205128205128,0.051460518842743254,0.8842904949749969,0.27750066534284656,0.08517747039852105,0.26978610739059616,,,0.3528833798930811,4.0,0.45692385672138114,3.496093139593726,0.1818445433886089,0
