enabled,directed,notes,n_nodes,n_edges,density,transitivity,avg_clustering,degree_assortativity,global_efficiency_weighted,largest_component_size,avg_shortest_path_length_weighted_lcc,diameter_weighted_lcc,n_modules,modularity,time_index,t,network
True,False,[],14,91,1.0,1.0,0.2547148951890623,,0.14572531517011164,14,8.083565393503113,1.0,3,0.14217991373155706,0,0.0,contemp_undirected
True,False,[],14,91,1.0,1.0,0.2554505795698247,,0.14296464563422387,14,8.231022436137282,1.0,3,0.14357581672433856,1,0.05263157894736842,contemp_undirected
True,False,[],14,91,1.0,1.0,0.25586097684175574,,0.14006226585607906,14,8.402185083572444,1.0,2,0.13259016720855865,2,0.10526315789473684,contemp_undirected
True,False,[],14,91,1.0,1.0,0.25805217989086005,,0.13704335495002823,14,8.598236942254868,1.0,2,0.13047504276768052,3,0.15789473684210525,contemp_undirected
True,False,[],14,91,1.0,1.0,0.25833083115581956,,0.13395167716257897,14,8.833982934132885,1.0,2,0.1276947322735919,4,0.21052631578947367,contemp_undirected
True,False,[],14,91,1.0,1.0,0.25656697348917845,,0.13179648789258164,14,8.928791217715055,1.0,3,0.13140930147400726,5,0.2631578947368421,contemp_undirected
True,False,[],14,91,1.0,1.0,0.2692009692594976,,0.13026769940299893,14,8.938489449930158,1.0,2,0.14832038890140034,6,0.3157894736842105,contemp_undirected
True,False,[],14,91,1.0,1.0,0.2826723452391845,,0.12871371508308505,14,8.977877239085936,1.0,2,0.14252241793802378,7,0.3684210526315789,contemp_undirected
True,False,[],14,91,1.0,1.0,0.2891519779265766,,0.12711627407742743,14,9.057040359943098,1.0,2,0.13414734469714854,8,0.42105263157894735,contemp_undirected
True,False,[],14,91,1.0,1.0,0.2848336637560051,,0.1254176210744096,14,9.176329362575098,1.0,2,0.12631999534132685,9,0.47368421052631576,contemp_undirected
True,False,[],14,91,1.0,1.0,0.2824778989749009,,0.1239483206375565,14,9.29228396667478,1.0,2,0.11601002969772775,10,0.5263157894736842,contemp_undirected
True,False,[],14,91,1.0,1.0,0.287576959114413,,0.12318815508122628,14,9.337569011024678,1.0,2,0.10251830506880005,11,0.5789473684210527,contemp_undirected
True,False,[],14,91,1.0,1.0,0.28963974876208454,,0.12294522514073238,14,9.344852812449743,1.0,2,0.09361907234005648,12,0.631578947368421,contemp_undirected
True,False,[],14,91,1.0,1.0,0.28934034470483555,,0.12315206215951437,14,9.317763924893264,1.0,2,0.07961111691493822,13,0.6842105263157894,contemp_undirected
True,False,[],14,91,1.0,1.0,0.29847557095427385,,0.1235672010397561,14,9.269163230730376,1.0,2,0.07403177824899551,14,0.7368421052631579,contemp_undirected
True,False,[],14,91,1.0,1.0,0.30339383697265365,,0.12398013331916839,14,9.236723339991881,1.0,2,0.06806602803917153,15,0.7894736842105263,contemp_undirected
True,False,[],14,91,1.0,1.0,0.30597241453865004,,0.12496022922207058,14,9.127568485107739,1.0,3,0.07167680212900497,16,0.8421052631578947,contemp_undirected
True,False,[],14,91,1.0,1.0,0.29400372242260664,,0.12601849145498148,14,9.038211826537262,1.0,2,0.07619608039330653,17,0.894736842105263,contemp_undirected
True,False,[],14,91,1.0,1.0,0.2771291566555975,,0.12712117777462642,14,8.965354764704895,1.0,2,0.0667583345895002,18,0.9473684210526315,contemp_undirected
True,False,[],14,91,1.0,1.0,0.26708010137098415,,0.12827460205270505,14,8.895703838875788,1.0,2,0.07247916862813311,19,1.0,contemp_undirected
