enabled,directed,notes,n_nodes,n_edges,density,reciprocity,transitivity,avg_clustering,degree_assortativity,global_efficiency_weighted,largest_component_size,avg_shortest_path_length_weighted_lcc,diameter_weighted_lcc,n_modules,modularity,time_index,t,network
True,True,[],14,22,0.12087912087912088,0.09090909090909091,0.15789473684210525,0.059571285539377405,-0.6896551724137936,0.01699752126349582,13,97.29588628060216,4.0,4,0.46541837480366793,0,0.0,lagged_directed
True,True,[],14,20,0.10989010989010989,0.2,0.14285714285714285,0.04987879401773849,-0.6216216216216212,0.016776378788662664,13,89.07726855170192,4.0,4,0.46182343329955783,1,0.05263157894736842,lagged_directed
True,True,[],14,20,0.10989010989010989,0.3,0.07692307692307693,0.01725269297373335,-0.5937499999999997,0.016389450499575395,13,88.32888799565777,4.0,4,0.4466254422653464,2,0.10526315789473684,lagged_directed
True,True,[],14,20,0.10989010989010989,0.3,0.07692307692307693,0.008821718749558328,-0.46726190476190504,0.01547426197924214,13,97.9270582435111,5.0,4,0.43655213832765843,3,0.15789473684210525,lagged_directed
True,True,[],14,24,0.13186813186813187,0.16666666666666666,0.19672131147540983,0.023155698658499417,-0.05497076023391842,0.012613429494294297,14,169.60039401540158,5.0,3,0.4333495880137159,4,0.21052631578947367,lagged_directed
True,True,[],14,23,0.12637362637362637,0.17391304347826086,0.11764705882352941,0.025976657531658044,-0.3900709219858199,0.013264379306527218,14,132.6164599384956,4.0,3,0.4046100960949095,5,0.2631578947368421,lagged_directed
True,True,[],14,25,0.13736263736263737,0.16,0.1791044776119403,0.022816070742397696,-0.23034934497816664,0.013840030819343872,14,128.35332410211197,4.0,4,0.41433904042840614,6,0.3157894736842105,lagged_directed
True,True,[],14,27,0.14835164835164835,0.14814814814814814,0.27906976744186046,0.02744712130772044,-0.1567379988432608,0.014296849177483155,14,130.59302407962898,4.0,4,0.4014074281620289,7,0.3684210526315789,lagged_directed
True,True,[],14,27,0.14835164835164835,0.14814814814814814,0.2891566265060241,0.02435067570284167,0.008723235527358616,0.014624844878108488,14,144.14951105320915,5.0,4,0.3926890473069009,8,0.42105263157894735,lagged_directed
True,True,[],14,24,0.13186813186813187,0.16666666666666666,0.3582089552238806,0.042795099497693626,-0.028290282902829138,0.01755726723978935,13,78.70260811837973,4.0,5,0.3609802128927828,9,0.47368421052631576,lagged_directed
True,True,[],14,25,0.13736263736263737,0.16,0.39473684210526316,0.04584599129094121,-0.0454545454545473,0.019105776059060536,13,70.14196858755558,4.0,5,0.3313862302721846,10,0.5263157894736842,lagged_directed
True,True,[],14,26,0.14285714285714285,0.15384615384615385,0.43373493975903615,0.05951167674066139,-0.01447596988998248,0.01730688117685655,14,2739.506959003464,5.0,3,0.3460365999009357,11,0.5789473684210527,lagged_directed
True,True,[],14,30,0.16483516483516483,0.26666666666666666,0.45,0.06243591082999272,-0.05888125613346542,0.018612299058659423,14,103.40600774552277,5.0,3,0.3644371016751051,12,0.631578947368421,lagged_directed
True,True,[],14,31,0.17032967032967034,0.1935483870967742,0.4247787610619469,0.06578215698770225,-0.0951485520872524,0.019625894152512435,14,84.2244867939384,5.0,3,0.35462957889639113,13,0.6842105263157894,lagged_directed
True,True,[],14,31,0.17032967032967034,0.1935483870967742,0.4247787610619469,0.06659675981501223,-0.0951485520872524,0.020852895144057262,14,75.22893166413853,5.0,3,0.34930697060911553,14,0.7368421052631579,lagged_directed
True,True,[],14,33,0.1813186813186813,0.18181818181818182,0.4251968503937008,0.05855769818675993,-0.007249141549027544,0.02227496484410586,14,68.86113297537689,5.0,4,0.36729974400798066,15,0.7894736842105263,lagged_directed
True,True,[],14,32,0.17582417582417584,0.125,0.4251968503937008,0.052638874877976985,-0.007249141549027544,0.023309680444285275,14,66.55228227844741,5.0,4,0.39614294284135576,16,0.8421052631578947,lagged_directed
True,True,[],14,32,0.17582417582417584,0.0625,0.4122137404580153,0.04224577860596356,0.034851301115238424,0.024082042266942855,14,65.86061539817514,4.0,4,0.4114231067904731,17,0.894736842105263,lagged_directed
True,True,[],14,33,0.1813186813186813,0.06060606060606061,0.375,0.032108010026940303,0.014705882352941176,0.02484443164301326,14,64.7568260899582,4.0,4,0.4282837024786656,18,0.9473684210526315,lagged_directed
True,True,[],14,28,0.15384615384615385,0.0,0.3125,0.02755298338087609,0.15740740740740924,0.025937117800636185,14,60.80785896643692,4.0,4,0.4400155010532265,19,1.0,lagged_directed
