variable,type_inferred,n_total,n_nonmissing_raw,missing_pct_raw,imputed_used,trend_slope_or_beta,trend_p,regressed_pct_change_vs_scale,autocorr_lag1,ljung_box_p,adf_p,kpss_p
P01,proportion,180,137,0.23888888888888893,True,0.0008193165021196009,0.012663137880299425,17.09316856777688,0.846977784765672,1.0045213103413622e-73,0.002019038446601925,0.1
P02,proportion,180,154,0.1444444444444445,True,0.001995311052308109,2.8746770238058233e-12,35.71606783631515,0.8776243543442273,2.665341561022391e-146,0.007886389307460277,0.01
P03,proportion,180,145,0.19444444444444442,True,0.002084273285942919,1.0397906318000988e-10,37.30849181837824,0.8499125930359965,3.4467152853232145e-106,0.0026425642310927092,0.021742877556288856
P04,proportion,180,137,0.23888888888888893,True,0.0023982589997986227,5.809583813150692e-21,45.023570736293216,0.8618179120630188,1.22834641257351e-138,0.06282508730123686,0.01
P05,proportion,180,150,0.16666666666666663,True,0.0024431384661236875,2.189106671749118e-16,43.732178543614005,0.8714275952090632,9.946736542826599e-111,0.008649001805700003,0.01
P06,proportion,180,155,0.13888888888888884,True,-0.0035010951683270815,7.087295967398615e-23,-62.66960351305476,0.9403129562862619,3.830001658057962e-213,0.38202669834593955,0.01
P07,proportion,180,152,0.15555555555555556,True,0.0033529124825037748,2.61265480313917e-42,61.83044137002407,0.9014718238733109,7.414829480145757e-156,0.04432930108577495,0.01
P08,proportion,180,161,0.10555555555555551,True,0.0008781708628838722,0.0046298113567012425,17.72581202011598,0.8493170459137463,2.80507250147284e-89,0.002286180964500801,0.1
C01,continuous,180,139,0.22777777777777775,True,0.011302824216943504,1.1185590740973447e-08,33.31808234067786,0.8855697672644146,1.4456425973848548e-129,0.009373411204703459,0.012992744771700811
C02,continuous,180,152,0.15555555555555556,True,0.004676237792952364,0.0008678632341731274,16.921521900089733,0.7875160647511276,5.539157599311339e-59,0.00010574792450293371,0.1
C03,continuous,180,107,0.40555555555555556,True,0.0042138255337048295,0.030559517086094546,9.399289548703925,0.8159687568760807,2.574289435245916e-65,0.0004002001888640094,0.1
C04,continuous,180,153,0.15000000000000002,True,0.003939865254751962,0.010530451922413692,12.557669654041367,0.8105000418563287,1.3963254855737863e-52,0.0004959553018493197,0.1
C05,continuous,180,129,0.2833333333333333,True,-0.005035784967097839,0.00040792801335377707,-11.234390205071636,0.6574122215987602,7.481700627483632e-46,0.0002820565050418493,0.03481707099010074
C06,continuous,180,142,0.21111111111111114,True,-0.002049474220118242,0.16360021733922692,-7.167856116800824,0.7224980414681729,1.0603291222789903e-34,1.400714958634154e-06,0.1
