code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Sudden intense anxiety episodes,recurrent_panic_attacks_present,0.65,
C02,CRITERION,Acute chest tightness during episodes,chest_pain_anxiety,0.72,
C03,CRITERION,Belief of imminent fainting in public,fear_of_entrapment_or_loss_of_control_in_public_transport,0.58,
C04,CRITERION,Social-evaluative embarrassment concern,anticipatory_anxiety_in_social_evaluative_contexts,0.92,
C05,CRITERION,Immediate safety-checking behavior (pulse checking),repetitive_health_checking_behaviors,0.82,
C06,CRITERION,Immediate escape/exit planning,creating,0.72,
C07,CRITERION,Perceived unpredictability/lack of control over episodes,predictabilityestablishment,0.62,
C08,CRITERION,Attention shift to internal bodily sensations,interoceptive_hypervigilance_to_thoracic_signals,0.72,
P01,PREDICTOR,Panic-onset breathing regulation and autonomic arousal control,ema_breathing_ease,0.82,
P02,PREDICTOR,Pulse/heart rate monitoring urge,ema_urge_intensity,0.92,
P03,PREDICTOR,Interoceptive attention focus,interoceptive_awareness_training,0.82,
P04,PREDICTOR,Social evaluative context sensitivity,social_evaluation_exposure,0.72,
P05,PREDICTOR,Escape-urge tolerance and safety-planning,avoidance_safety_behavior_map,0.72,
P06,PREDICTOR,Attention control and grounding techniques,five_senses_grounding_practice,0.72,
