code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Migraine unpredictability,circadian_rhythm_disturbance_headache,0.62,
C02,CRITERION,Migraine-related functional impact,functional_impairment_in_work_or_social_roles_due_to_pain,0.82,
C03,CRITERION,Inability to commit to plans / avoidance,avoiding,0.92,
C04,CRITERION,Anticipatory anxiety about migraine onset,anxiety_about_pain,0.58,
C06,CRITERION,Perceived anxiety-driven exacerbation of migraines,pain_related_anxiety_or_catastrophizing,0.72,
P01,PREDICTOR,Migraine self-management diary (Migraine log),headache_migraine_log,0.92,
P02,PREDICTOR,Avoidance/reduction of plan-avoidant behavior,approach_behavior_planning,0.78,
P03,PREDICTOR,Goal management training / mastery planning,goal_management_training,0.89,
P04,PREDICTOR,Mindfulness-based stress regulation / uncertainty tolerance,mindful_response_to_stress_practice,0.92,
P05,PREDICTOR,Sleep circadian optimization / sleep routine adherence,consistent_morning_anchor_routine,0.72,
