code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Frequency of 'what if'/hypothetical thoughts,intrusive_rumination_frequency,0.7,
C02,CRITERION,Difficulty disengaging/rumination persistence,difficulty_disengaging_from_ruminative_thoughts,0.85,
C03,CRITERION,Breadth of worry topics (multiple life domains),unknown,,
C04,CRITERION,Perceived usefulness of worry as preparation,proactive,0.72,
C05,CRITERION,Emotional distress caused by the worry,worry,0.72,
P01,PREDICTOR,Mindfulness/defusion practices,cognitive_defusion_mindfulness,0.82,
P02,PREDICTOR,Metacognitive beliefs modification for worry,metacognitive_belief_modification,0.82,
P03,PREDICTOR,Worry scheduling and behavioral activation,worry_postponement_scheduling_practice,0.85,
P04,PREDICTOR,Sleep routines and circadian regularity,consistent_morning_anchor_routine,0.72,
P05,PREDICTOR,Aerobic exercise frequency,walking,0.62,
