code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Occurrence of sudden anger episodes,irritability_or_anger_outbursts,0.58,
C02,CRITERION,Intensity of bodily rage/arousal during episodes,autonomic_arousal_during_outbursts,0.78,
C03,CRITERION,Sensitivity to minor external triggers,identifying,0.78,
C04,CRITERION,Unexpectedness of emotional response,surprise,0.83,
C05,CRITERION,Post-episode shame/embarrassment,shame,0.77,
C06,CRITERION,Perceived mismatch between behavior and self-identity,behavioralalignment,0.78,
C07,CRITERION,Ability to inhibit outward aggressive behavior,reducing,0.66,
C08,CRITERION,Motivation/readiness to change reactive anger,preparedness,0.72,
P01,PREDICTOR,Sleep quality and circadian regularity (biological driver),consistent_morning_anchor_routine,0.72,
P02,PREDICTOR,Acute emotion regulation practice during triggers,arousal_labeling_and_reappraisal_practice,0.72,
P03,PREDICTOR,"CBT-based anger regulation skills (pause/plan, behavioral experiments)",cbt_cycle_thought_emotion_behavior_map,0.72,
P04,PREDICTOR,Identity alignment and compassionate self-relating,compassionate_self_identity_work,0.72,
P05,PREDICTOR,Environmental/trigger-context modification,reduce_exposure_to_triggering_contexts_strategy,0.78,
P06,PREDICTOR,Motivation/readiness to change reactive anger,confidence_ruler,0.72,
