enabled,directed,notes,n_nodes,n_edges,density,reciprocity,transitivity,avg_clustering,degree_assortativity,global_efficiency_weighted,largest_component_size,avg_shortest_path_length_weighted_lcc,diameter_weighted_lcc,n_modules,modularity,time_index,t,network
True,True,[],14,10,0.054945054945054944,0.0,0.2608695652173913,0.030190443560722372,-0.4681440443213308,0.048444312527619715,9,42.20854290944795,4.0,7,0.16457896429026114,0,0.0,lagged_directed
True,True,[],14,9,0.04945054945054945,0.0,0.17647058823529413,0.021709138515239767,-0.3882978723404255,0.046482396268470484,9,57.8407224493456,4.0,7,0.19252041868056047,1,0.05263157894736842,lagged_directed
True,True,[],14,9,0.04945054945054945,0.0,0.17647058823529413,0.01965926324557816,-0.3882978723404255,0.04361185557864242,9,334.52601390530316,4.0,7,0.21655987118314704,2,0.10526315789473684,lagged_directed
True,True,[],14,9,0.04945054945054945,0.0,0.17647058823529413,0.01679523577655361,-0.3882978723404255,0.042963360577415725,9,45.11098647863651,4.0,8,0.23995152312260773,3,0.15789473684210525,lagged_directed
True,True,[],14,11,0.06043956043956044,0.0,0.15,0.012574077301575361,-0.1203703703703707,0.03518142721607482,10,94.60892919802397,4.0,7,0.26176223363723966,4,0.21052631578947367,lagged_directed
True,True,[],14,10,0.054945054945054944,0.0,0.0,0.0,-0.06382978723404317,0.03574641762779543,10,54.22765578306232,5.0,7,0.2777339231822488,5,0.2631578947368421,lagged_directed
True,True,[],14,11,0.06043956043956044,0.0,0.0,0.0,-0.21186440677966079,0.02926945093271265,11,82.72912964476858,6.0,7,0.3177024624682701,6,0.3157894736842105,lagged_directed
True,True,[],14,12,0.06593406593406594,0.0,0.0,0.0,-0.008403361344536831,0.028179814381778995,11,70.81157540761947,6.0,7,0.37521384079469206,7,0.3684210526315789,lagged_directed
True,True,[],14,13,0.07142857142857142,0.0,0.0,0.0,0.009523809523808132,0.025613842533874952,11,88.01118367242998,6.0,7,0.42830485889102005,8,0.42105263157894735,lagged_directed
True,True,[],14,13,0.07142857142857142,0.0,0.0,0.0,0.009523809523808132,0.024649531744055295,11,94.16091964075338,6.0,7,0.47291552291250977,9,0.47368421052631576,lagged_directed
True,True,[],14,13,0.07142857142857142,0.15384615384615385,0.15,0.003147912875540474,-0.02439024390243926,0.01947483707943194,11,147.4387204362814,5.0,6,0.5168870917659243,10,0.5263157894736842,lagged_directed
True,True,[],14,12,0.06593406593406594,0.16666666666666666,0.16666666666666666,0.0035443195856900435,-0.029239766081870934,0.02784811072780576,9,82.23405585976113,4.0,6,0.5338182474610984,11,0.5789473684210527,lagged_directed
True,True,[],14,14,0.07692307692307693,0.14285714285714285,0.16666666666666666,0.01075214137863646,-0.26388888888888873,0.02389099417518543,10,85.49678719717944,5.0,4,0.5359759353784781,12,0.631578947368421,lagged_directed
True,True,[],14,18,0.0989010989010989,0.1111111111111111,0.1,0.006782100906230756,-0.09356725146198859,0.014902891831063265,14,178.7259539275119,6.0,3,0.5214638230985957,13,0.6842105263157894,lagged_directed
True,True,[],14,17,0.09340659340659341,0.11764705882352941,0.1111111111111111,0.008463234923253423,0.26436781609195403,0.01945272667109732,13,98.64653521200732,6.0,5,0.5032809056949283,14,0.7368421052631579,lagged_directed
True,True,[],14,18,0.0989010989010989,0.1111111111111111,0.18181818181818182,0.011373195766147709,0.08602150537634494,0.021887316224881673,13,81.44484733303375,6.0,6,0.4819615410624867,15,0.7894736842105263,lagged_directed
True,True,[],14,22,0.12087912087912088,0.09090909090909091,0.17307692307692307,0.017131272708959627,-0.3124999999999993,0.020600261340336972,14,131.6416750332588,4.0,5,0.47142005592110103,16,0.8421052631578947,lagged_directed
True,True,[],14,25,0.13736263736263737,0.08,0.21428571428571427,0.022051387015684716,-0.26486486486486577,0.022354437277892544,14,88.81498270499581,4.0,5,0.44302916432584416,17,0.894736842105263,lagged_directed
True,True,[],14,28,0.15384615384615385,0.14285714285714285,0.21951219512195122,0.0196180944113303,-0.1382488479262661,0.025263833238555987,14,68.5573196555003,3.0,5,0.42738647198677066,18,0.9473684210526315,lagged_directed
True,True,[],14,28,0.15384615384615385,0.07142857142857142,0.23333333333333334,0.025193789440983667,-0.11111111111111366,0.028084555487868316,14,57.9571986249092,3.0,5,0.4040290432914273,19,1.0,lagged_directed
