enabled,directed,notes,n_nodes,n_edges,density,transitivity,avg_clustering,degree_assortativity,global_efficiency_weighted,largest_component_size,avg_shortest_path_length_weighted_lcc,diameter_weighted_lcc,n_modules,modularity,time_index,t,network
True,False,[],14,91,1.0,1.0,0.1655672393329335,,0.12281848078328333,14,9.72553991521269,1.0,2,0.11357819155000412,0,0.0,contemp_undirected
True,False,[],14,91,1.0,1.0,0.1623013906479465,,0.12081194559776327,14,9.895017274651885,1.0,3,0.10750808338722877,1,0.05263157894736842,contemp_undirected
True,False,[],14,91,1.0,1.0,0.15826925513557616,,0.11895932367194653,14,10.092244015340698,1.0,3,0.11668778060391309,2,0.10526315789473684,contemp_undirected
True,False,[],14,91,1.0,1.0,0.1592868527791543,,0.11745816097518053,14,10.26737049220836,1.0,3,0.119582145930468,3,0.15789473684210525,contemp_undirected
True,False,[],14,91,1.0,1.0,0.15934925387592475,,0.1164550463084002,14,10.416986941652723,1.0,3,0.12082361922660469,4,0.21052631578947367,contemp_undirected
True,False,[],14,91,1.0,1.0,0.1617499985766507,,0.11636854251545815,14,10.485024325894829,1.0,3,0.11937025842092103,5,0.2631578947368421,contemp_undirected
True,False,[],14,91,1.0,1.0,0.16084074626271824,,0.11700831335047296,14,10.44665866847154,1.0,3,0.11658351512915954,6,0.3157894736842105,contemp_undirected
True,False,[],14,91,1.0,1.0,0.16062115080717848,,0.11824623358504328,14,10.313539179606924,1.0,3,0.11298797723268722,7,0.3684210526315789,contemp_undirected
True,False,[],14,91,1.0,1.0,0.1634906493950403,,0.11967609723624467,14,10.17024681777515,1.0,3,0.10570108981136393,8,0.42105263157894735,contemp_undirected
True,False,[],14,91,1.0,1.0,0.16744714589330378,,0.12165138032376446,14,9.963412736386614,1.0,2,0.09178747651384539,9,0.47368421052631576,contemp_undirected
True,False,[],14,91,1.0,1.0,0.170143512633285,,0.1244375310261432,14,9.686681143605208,1.0,2,0.08907347088894146,10,0.5263157894736842,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17119040458744175,,0.12743737386450676,14,9.417648104608492,1.0,2,0.08382749604002693,11,0.5789473684210527,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17698995960997538,,0.13046080571223126,14,9.195234144793057,1.0,2,0.08380365239714155,12,0.631578947368421,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17960704618363765,,0.13374407228258564,14,8.974299603397807,1.0,2,0.08184425431696443,13,0.6842105263157894,contemp_undirected
True,False,[],14,91,1.0,1.0,0.18046726750039926,,0.13680700264668244,14,8.790782515376002,1.0,2,0.07958842710493705,14,0.7368421052631579,contemp_undirected
True,False,[],14,91,1.0,1.0,0.1775961768045798,,0.13922008081835194,14,8.662817341778531,1.0,2,0.07768582826670767,15,0.7894736842105263,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17793766623703955,,0.142014888581925,14,8.5170408252763,1.0,2,0.07387516839236641,16,0.8421052631578947,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17829593893703247,,0.14490023777037184,14,8.38805873083185,1.0,2,0.06827617871952521,17,0.894736842105263,contemp_undirected
True,False,[],14,91,1.0,1.0,0.17944239922808639,,0.14789119526193026,14,8.250948513740099,1.0,3,0.06769632588088756,18,0.9473684210526315,contemp_undirected
True,False,[],14,91,1.0,1.0,0.18416593434436596,,0.15117151919560623,14,8.108483597164568,1.0,3,0.06766082330783403,19,1.0,contemp_undirected
