node,degree,strength_abs,strength_signed,betweenness,closeness,harmonic,eigenvector,pagerank,katz,hits_hub,hits_authority,clustering,core_number,constraint,effective_size,participation_coeff,module_id
P01,12.0,0.7748693823529043,0.3512144884942083,0.1794871794871795,0.06882173139559865,1.012352778081725,0.2584206012284547,0.09114990907661016,0.27161450236656226,,,0.0797999695856041,6.0,0.27908974377781853,9.291768288665567,0.6466385275113005,0
P02,7.0,0.3320740068912902,-0.16661238401025535,0.0,0.04671029258626299,0.6812396178157305,0.08227681660466393,0.046238626153046164,0.25970214566837074,,,0.06627326870093346,6.0,0.4052490400086554,5.240462447143494,0.33513739082378113,0
P03,8.0,0.7789877538136959,0.33646306409014737,0.0,0.06905800397754414,1.1115036107647387,0.37435510120498333,0.08577849787703479,0.27215676142924883,,,0.1656331665467394,6.0,0.4228960627814246,5.442201984154114,0.5816749722878516,2
P04,6.0,0.33556740331442253,0.0136308293248978,0.0,0.05163924004402718,0.7192797495757668,0.10402761897092117,0.04494292031632227,0.2598998873617273,,,0.08717205039317787,6.0,0.363704369785222,4.279638060087351,0.4412020159819159,0
P05,10.0,0.6741512223705031,-0.08772563087593982,0.07692307692307693,0.06699695145454992,1.049564594578117,0.2789910329271987,0.07735993526654182,0.2691272877100164,,,0.09839917758610836,6.0,0.3408348546479011,7.275781238473642,0.6287328026271563,1
P06,5.0,0.3034972983342205,0.3034972983342205,0.01282051282051282,0.05403205714240948,0.7654571965040116,0.08548337163756926,0.04262871683424701,0.2590133247860898,,,0.07311611474912974,5.0,0.3792635402440859,4.179209362739569,0.20169561325097485,0
P07,8.0,0.5777017783040791,0.2016997142865563,0.07692307692307693,0.06074141367910524,0.8684720599890909,0.18646353052705414,0.07079668042464538,0.26632512961860844,,,0.09186268395814842,6.0,0.2659438148355487,6.289760897667721,0.5123239667003809,0
P08,8.0,0.37238614897811073,-0.27454000958726593,0.0,0.05240031988949424,0.8475140153865346,0.15511183105396173,0.047301737844155534,0.26105082215568104,,,0.06419753731074615,6.0,0.5012283793449879,5.604514933957321,0.5957066247110844,1
C01,7.0,0.386677230565159,0.386677230565159,0.0,0.050302168864345666,0.6962389950909416,0.13627981415105977,0.04998245971313474,0.2612859235427161,,,0.09123578169844515,6.0,0.3011493225179983,5.593382922673386,0.6143030225959274,0
C02,10.0,0.8712028178841416,0.43822725182628736,0.0641025641025641,0.0700996117007075,1.3140588600971717,0.4458037788518948,0.09410272669567488,0.2747921185396335,,,0.09621443384528683,6.0,0.4340651505760764,6.827637545516021,0.5641206597189281,2
C03,9.0,0.5633340630067114,0.4823131765979838,0.02564102564102564,0.05830486110019485,0.9111803338040407,0.24810082600231398,0.06639331615110208,0.2662063759263348,,,0.10063921104378203,6.0,0.34488843884186904,6.205800094777752,0.6113550134483929,2
C04,9.0,0.5701255897380711,-0.03310822126762952,0.10256410256410256,0.06412801009422776,0.9073759623292982,0.16277450961978004,0.07162826351086406,0.26604534292211973,,,0.06670724699652013,6.0,0.26733961578946586,7.5109348501964135,0.5131580736997003,0
C05,9.0,0.7835670941220353,-0.4170173352630827,0.15384615384615385,0.06474189545487484,1.0571527508903553,0.2682340727448102,0.09073123935674814,0.2718393720598449,,,0.12575443919968052,6.0,0.3079293603481401,7.033674147509455,0.6386603897981454,1
C06,10.0,1.131771215835181,0.5832718058478409,0.15384615384615385,0.07584103092401266,1.4328772614457856,0.5041843152691291,0.1209649707798731,0.2815056874138624,,,0.13407331746154974,6.0,0.3483070778687529,7.418025701402357,0.5024869528237673,2
