node,in_degree,out_degree,in_strength_abs,out_strength_abs,in_strength_signed,out_strength_signed,betweenness,closeness,harmonic,eigenvector,pagerank,katz,hits_hub,hits_authority,clustering,core_number,constraint,effective_size,participation_coeff,module_id
P01,8.0,6.0,0.29466355206031447,0.2480203028894535,-0.036141210566819564,-0.09882610503240621,0.019230769230769232,0.02517267528053496,0.4290991472065963,0.23432286449811435,0.06239973444040702,0.2678021322566425,-10.40556221250014,0.37872974876482685,0.1276816429407713,8.0,0.3809907615070927,6.116495409440919,0.6041106422983322,1
P02,8.0,9.0,0.26943055924238973,0.3888893711366141,0.11616677974552778,-0.12041708263227383,0.08333333333333333,0.025998406698772184,0.41822625168962135,0.18287037087622274,0.05860815209649738,0.26710660699410677,21.807030213808833,0.022113427780975373,0.10149267233420046,8.0,0.38882137316767235,8.584189779953707,0.6285921481208885,0
P03,5.0,6.0,0.12093458864245467,0.27826088819338446,0.11926270916878211,0.16064947271605384,0.08974358974358974,0.018175152467052123,0.2703391302305446,0.07595587083171325,0.033303302128405446,0.2631546555322214,6.7193691817078,0.005368598540980256,0.10378858613419245,8.0,0.3927412437415868,6.336125896092625,0.44533234906598385,1
P04,11.0,3.0,0.8778948019750652,0.07268347636404038,0.07725396616312163,-0.015065138694516145,0.09615384615384615,0.05686969937104653,1.0708850567927377,0.7153271093899963,0.2072078877239016,0.2833974993426245,-0.03053340162989446,1.20865925513453,0.15645974030312865,8.0,0.2814631869004032,8.500944004318923,0.4988578065419028,1
P05,11.0,8.0,0.36338549567384526,0.2585390635137732,-0.12827823442058395,0.030438891259446668,0.24358974358974358,0.028960943054649538,0.4625384983428167,0.24491591799740928,0.08390249970410096,0.269604756432164,-2.3214532766126,0.25372062662335776,0.1069174551935909,8.0,0.3223919240118465,9.259490149064158,0.6618016626360981,2
P06,9.0,8.0,0.21713676478347246,0.43902064622438897,-0.06892624361120853,-0.19408960262501804,0.09615384615384615,0.026803164967208862,0.4077563507510127,0.21231409430475473,0.10476719496992426,0.2658007521869712,-18.34448665652464,0.06909530159759616,0.09474752596741651,8.0,0.36995508063821436,8.518150400815559,0.6256617586904628,2
P07,9.0,5.0,0.22242251454456666,0.28489627670348877,0.0987453767079572,0.28489627670348877,0.05128205128205128,0.024547841435394218,0.34179678904933697,0.1790851906500403,0.11199409811285616,0.2658895489353829,11.031077132588248,0.16414762006852154,0.09842722407366876,8.0,0.4130183318255977,7.4699379824110625,0.5458486463635899,1
P08,1.0,8.0,0.0010605861437816312,0.24520817636879588,0.0010605861437816312,-0.08179666806799114,0.0,0.0010240970671890495,0.013316765462258384,0.0011008293574390094,0.011006846257963523,0.2599822535415174,0.4464827054915779,-0.00037214469856932314,0.10115101789392796,8.0,0.38177921920345814,5.778612917071422,0.6104820396777553,2
C01,9.0,6.0,0.19205953686208235,0.19558785773914034,0.046927445480832684,0.19036459742043516,0.09615384615384615,0.02249161823018986,0.3365718555960986,0.10769637199721323,0.06079816526088192,0.26504159431632063,6.8616753266340185,0.0574299971830655,0.0773253388371244,8.0,0.3898956716933792,7.9596340694564685,0.5241842173777693,1
C02,1.0,8.0,0.05323199826079172,0.343888878022991,0.05323199826079172,0.2132349439275812,0.02564102564102564,0.013912105811072004,0.21861731406397497,0.01713527813891735,0.016129681956143067,0.2613544844511815,-10.028788224181033,0.05406388031738229,0.10729653834214056,8.0,0.40874239974621995,5.787140006898371,0.5905294426472922,0
C03,9.0,10.0,0.22158097918630865,0.3447354559562672,0.05611735828238372,0.19550011944917553,0.07692307692307693,0.021722781474491994,0.33253384972761296,0.2284775150586238,0.08754018805879143,0.26591648201404255,6.470097405802852,0.211126504065764,0.07415676899646657,8.0,0.36480723367084367,8.627853912117622,0.6153364484622248,1
C04,7.0,4.0,0.3163384464462977,0.05591144797397462,0.1378339044371814,-0.02870671598920877,0.02564102564102564,0.030447181647512797,0.5748989744267223,0.22157316968052415,0.05407174911658857,0.26837935522600814,0.718999376908892,0.04435251906271437,0.06492829850207432,8.0,0.4251257461638087,6.863098716784708,0.3376476892302066,0
C05,7.0,7.0,0.6539699985350904,0.34911922017672503,0.0450970416391187,-0.09731270529172335,0.20512820512820512,0.03379717777113804,0.8706850301148239,0.3792973573789352,0.09755621445925337,0.27726990824321146,-6.071356846928881,-1.468435334441145,0.13538220192567554,8.0,0.30302306807684626,8.238934015061393,0.5046562361189744,0
C06,0.0,7.0,0.0,0.2993487610934236,0.0,0.07948119428782305,0.0,0.0,0.0,-0.0,0.010714285714285716,0.25995365963462036,-5.852550724565031,-0.0,0.11084986315553455,7.0,0.36570702346353595,5.472845726512037,0.5362497973435681,0
