code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Episodic perceptual/experiential alteration,derealization_environment_unreality,0.78,
C02,CRITERION,Stress as proximal trigger,stress,0.65,
C03,CRITERION,Reduced sense of presence during episodes,derealization_present,0.85,
C04,CRITERION,Acute emotional distress when episodes occur,distress_or_impairment_from_somatic_symptom,0.42,
C05,CRITERION,Episode frequency (occasional),dpdr_episode_frequency,0.84,
C08,CRITERION,Current baseline stress level,stress,0.65,
P01,PREDICTOR,Sleep_Hygiene_and_Circadian_Regulation,sleep_quality_rating,0.83,
P02,PREDICTOR,Mindfulness_and_Grounding_Skills,present_moment_orientation_practice,0.72,
P03,PREDICTOR,Stress_Reduction_and_Coping_Skills,ema_perceived_coping_effectiveness,0.78,
P04,PREDICTOR,Regular_Aerobic_Exercise_Program,step_counting_wearable,0.72,
P05,PREDICTOR,In-the-moment_Grounding_Techniques,five_senses_grounding_practice,0.72,
P06,PREDICTOR,Structured_Social_Support_and_Belonging,boundary_setting_with_support_network,0.57,
