node,out_strength_abs,pagerank,node_type
P03,2.627266565854745,0.6666666666666666,predictor
P02,2.5246447454659,0.6666666666666666,predictor
P06,2.2870868278930323,0.4444444444444444,predictor
C04,2.183025678386418,0.4444444444444444,criterion
C03,1.897723450320615,0.4444444444444444,criterion
P05,1.6379229085961877,0.3333333333333333,predictor
C01,1.5521357620132212,0.2222222222222222,criterion
C02,1.46170804740145,0.2222222222222222,criterion
P01,1.4323813584576288,0.2222222222222222,predictor
P04,0.9398669000875293,0.1111111111111111,predictor
