pseudoprofile_id,role,var_id,source_variable_id,label,ontology_path,domain,priority,polarity,measurement_mode,measurement_channel,assessment_type,measurement_item_or_signal,measurement_scale_or_unit,sampling_per_day,recall_window,expected_variability
pseudoprofile_FTC_ID002,criterion,C01,C01,Diminished positive emotional response to pleasant events,Pleasant_event_response,,HIGH,higher_is_better,EMA_self_report,mobile_app,momentary,reported_pleasure_intensity,0-9,4,within_60_minutes,medium
pseudoprofile_FTC_ID002,criterion,C02,C02,Guilt about not enjoying positive experiences,Guilt_related_to_enjoyment,,MED,higher_is_worse,EMA_self_report,mobile_app,momentary,self_criticism_intensity,0-9,4,within_60_minutes,medium
pseudoprofile_FTC_ID002,criterion,C03,C03,Behavioral autopilot / low moment-to-moment engagement,Automatic_task_engagement,,HIGH,higher_is_worse,EMA_self_report,mobile_app,momentary,attention_presence,0-9,4,within_60_minutes,high
pseudoprofile_FTC_ID002,criterion,C04,C04,General emotional blunting (low affect intensity),Emotional_blunting_over_time,,MED,higher_is_worse,EMA_self_report,mobile_app,momentary,affect_intensity,0-9,4,within_60_minutes,medium
pseudoprofile_FTC_ID002,criterion,C05,C05,External presentation of being 'fine' despite internal disengagement,Outward_mask_vs_internal_disengagement,,LOW,higher_is_worse,EMA_self_report,mobile_app,momentary,self_presentation_discrepancy,0-9,4,within_60_minutes,medium
pseudoprofile_FTC_ID002,criterion,C06,C06,Reduced motivation/interest to pursue non-routine pleasurable activities,Motivation_for_pleasure_activities,,MED,higher_is_worse,EMA_self_report,mobile_app,momentary,intrinsic_motivation_level,0-9,4,within_60_minutes,high
pseudoprofile_FTC_ID002,predictor,P01,,Behavioral Activation & Scheduling of Daily Pleasurable Activities,positive valence systems / initial responsiveness to reward / cognitive-affective indicators / hedonic impact / units_of_analysis / self_report / pleasure_experience_score,PSYCHO,HIGH,,EMA_self_report,mobile_app,momentary,activation_and_planning,0-9,4,within_60_minutes,high
pseudoprofile_FTC_ID002,predictor,P02,,Gratitude and Savoring Practice,PSYCHO / positive_psychology_and_wellbeing / gratitude_and_savoring / gratitude_visit_planning,PSYCHO,MED,,EMA_self_report,mobile_app,momentary,gratitude_savoring,0-9,4,within_60_minutes,high
pseudoprofile_FTC_ID002,predictor,P03,,Self-Compassion & Guilt Reduction Training,sleep-wake disorders / central disorders of hypersomnolence / unspecified hypersomnolence disorder / automatic_behavior_during_mundane_tasks,PSYCHO,MED,,EMA_self_report,mobile_app,momentary,self_compassion_level,0-9,4,within_60_minutes,high
pseudoprofile_FTC_ID002,predictor,P04,,Sleep Health & Circadian Regularity,BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / presleep_downshift / low_stimulation_evening_activities,BIO,MED,,EMA_self_report,mobile_app,end_of_day,sleep_quality,0-9,1,end_of_day,high
pseudoprofile_FTC_ID002,predictor,P05,,Morning Light Exposure & Light-Boosted Activity,obsessive-compulsive and related disorders / body dysmorphic disorder / behavior patterns / camouflaging or comparing or seeking reassurance / camouflaging_public_appearance,BIO,MED,,EMA_self_report,mobile_app,momentary,morning_light_effect,0-9,4,within_60_minutes,medium
pseudoprofile_FTC_ID002,predictor,P06,,Structured Social Reconnection & Belonging,SOCIAL / Social_Support_and_Belonging / Network_Building_And_Maintenance,SOCIAL,MED,,EMA_self_report,mobile_app,momentary,perceived_social_belonging,0-9,4,within_60_minutes,high
