code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Burst of project initiation,initiating,0.62,
C02,CRITERION,Marked increase in talkativeness,pressured_speech,0.74,
C03,CRITERION,Impulsive/unsafe spending,purchasing_despite_budget_constraint,0.72,
C04,CRITERION,Rapid alternation of high and low energy/mood,mood_lability_present,0.78,
C05,CRITERION,Low-energy crash with social withdrawal,social_withdrawal_present,0.52,
C06,CRITERION,Exhaustion and disruption of routines,rapid_post_episode_fatigue_exhaustion,0.78,
C07,CRITERION,High initiation with likely poor follow-through,follow_through_difficulty,0.7,
P01,PREDICTOR,Sleep regularization / circadian alignment,consistent_morning_anchor_routine,0.68,
P02,PREDICTOR,Activation management / time-blocked initiation,time_blocking_for_valued_actions,0.85,
P03,PREDICTOR,Spending precommitment / budget discipline,precommitment_to_remove_temptations,0.72,
P04,PREDICTOR,Social boundaries & communication boundaries,boundary_setting_practice,0.72,
P05,PREDICTOR,Routine anchoring and energy restoration,micro_restoration_routines,0.72,
P06,PREDICTOR,Implementation intentions and progress monitoring,implementation_intention_ifthen_plans,0.88,
P07,PREDICTOR,External accountability / social support,accountability_partner_matching,0.62,
