code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Baseline health-related worry frequency/intensity,health_anxiety_rumination,0.72,
C02,CRITERION,Catastrophic interpretation of minor bodily symptoms,catastrophizing_thoughts_about_symptoms,0.85,
C03,CRITERION,Compulsive online health-checking (duration),compulsive_internet_health_searching,0.75,
C04,CRITERION,Failure to inhibit checking despite recognizing irrationality,resists_obsessive_behaviors_when_possible,0.74,
C05,CRITERION,Subjective sense of loss of control and distress about it,fear_of_losing_control_present,0.62,
C06,CRITERION,Acute panic-level fear when a symptom appears,panic_like_anxiety_spikes,0.42,
P01,PREDICTOR,CBT_Behavior_Change_Activation,graded_task_assignment,0.84,
P02,PREDICTOR,CBT_Exposure_and_Inhibitory_Learning,competing_response_prevention,0.78,
P03,PREDICTOR,Metacognitive_Stop_Monitoring,stop_threat_monitoring_and_checking,0.85,
P04,PREDICTOR,Sleep_Routines_and_Practices,sleep_quality_rating,0.72,
P05,PREDICTOR,Psychoeducation_Modules,psychoeducation_meta_worry_and_safety_seeking,0.72,
