code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Work activity during designated rest,inability_to_detach_from_work,0.76,
C02,CRITERION,Lack of perceived restoration,subjective_sleep_quality_poor,0.78,
C03,CRITERION,Guilt when attempting to rest,guilt_present,0.65,
C04,CRITERION,Perceived inability to stop working,inability_to_detach_from_work,0.85,
C05,CRITERION,Difficulty implementing boundaries,enforcing,0.72,
C06,CRITERION,Perceived minimization by social network,feedback,0.72,
P01,PREDICTOR,Stop threat monitoring and checking,threat_monitoring_reduction_plan,0.72,
P02,PREDICTOR,Digital boundaries and recovery plan (digital hygiene),digital_overload_recovery_plan,0.92,
P03,PREDICTOR,Boundary with external stressors plan,boundary_with_external_stressors_plan,0.92,
P04,PREDICTOR,Reduce time checking behavior,reduce_time_checking_behavior,0.88,
P05,PREDICTOR,Weekend social shift mitigation (circadian support),weekend_social_shift_mitigation,0.92,
P06,PREDICTOR,Notification and attention management plan,notification_and_attention_management_plan,0.64,
