time_index,t,dst,src,beta,ci_low,ci_high
0,0.0,P01,P01,0.7102992287057288,0.4916303858349139,0.8120980178369189
0,0.0,P01,P02,0.0,0.0,0.0001488193149084169
0,0.0,P01,P03,0.0,0.0,0.025915700030804387
0,0.0,P01,P04,0.0,0.0,0.0
0,0.0,P01,P05,0.0,0.0,0.0
0,0.0,P01,P06,0.0,0.0,0.0
0,0.0,P01,P07,0.01593666735423214,0.0,0.05455967556106606
0,0.0,P01,P08,0.0,0.0,0.0
0,0.0,P01,C01,-0.0,-0.0,0.0
0,0.0,P01,C02,0.0,0.0,0.030611346023175477
0,0.0,P01,C03,-0.0,-0.0,0.0
0,0.0,P01,C04,-0.0,-0.0,0.0
0,0.0,P01,C05,0.0,0.0,0.0
0,0.0,P01,C06,0.0,0.0,0.09110612021109625
0,0.0,P02,P01,0.0,0.0,0.0010085189107948032
0,0.0,P02,P02,0.7304859761704094,0.5575453288750596,0.7967437211441685
0,0.0,P02,P03,0.0,0.0,0.0
0,0.0,P02,P04,0.0,0.0,0.0
0,0.0,P02,P05,0.0,0.0,0.016644279716759743
0,0.0,P02,P06,-0.0,-0.0,0.0
0,0.0,P02,P07,0.0,0.0,0.1364959678935336
0,0.0,P02,P08,0.0,0.0,0.05939407515610309
0,0.0,P02,C01,0.0,0.0,0.03287804693662394
0,0.0,P02,C02,0.0,0.0,0.0004541595825948869
0,0.0,P02,C03,-0.0,0.0,0.0
0,0.0,P02,C04,0.0,0.0,0.0
0,0.0,P02,C05,0.0,0.0,0.0
0,0.0,P02,C06,0.0,0.0,0.0
0,0.0,P03,P01,0.0,0.0,0.0
0,0.0,P03,P02,-0.0,0.0,0.0
0,0.0,P03,P03,0.7606568283055005,0.6190655188292812,0.8089588793967477
0,0.0,P03,P04,0.0,0.0,0.0
0,0.0,P03,P05,-0.0,0.0,0.0
0,0.0,P03,P06,-0.0,-0.0,0.0
0,0.0,P03,P07,-0.0,0.0,0.0
0,0.0,P03,P08,0.0,0.0,0.0
0,0.0,P03,C01,-0.0,-0.0,0.0
0,0.0,P03,C02,-0.0,-0.00023299698328269104,0.0
0,0.0,P03,C03,0.0,0.0,0.0
0,0.0,P03,C04,-0.0,-0.0002052171655647557,0.0
0,0.0,P03,C05,0.0,0.0,0.0
0,0.0,P03,C06,0.0,0.0,0.0
0,0.0,P04,P01,0.0,0.0,0.07666968639289233
0,0.0,P04,P02,0.0,0.0,0.0
0,0.0,P04,P03,0.0,0.0,0.0005859018848567753
0,0.0,P04,P04,0.6572561426429336,0.5171597906950042,0.738960580262717
0,0.0,P04,P05,-0.0,-0.0,0.0
0,0.0,P04,P06,0.0,-0.0,0.0
0,0.0,P04,P07,0.0,0.0,0.012303687505899167
0,0.0,P04,P08,0.0,0.0,0.0
0,0.0,P04,C01,0.0,-0.0,0.0
0,0.0,P04,C02,0.0,0.0,0.0
0,0.0,P04,C03,-0.0,-0.0,0.0
0,0.0,P04,C04,-0.0,-0.0,0.0
0,0.0,P04,C05,0.0,0.0,0.047592510767541306
0,0.0,P04,C06,0.0,0.0,0.03621611818058298
0,0.0,P05,P01,0.0,0.0,0.07060220219244337
0,0.0,P05,P02,0.0,0.0,0.054069370773794236
0,0.0,P05,P03,0.0,0.0,0.01845539232876361
0,0.0,P05,P04,-0.0,-0.0,0.0
