dst,src,max_abs_delta_adj,argmax_delta_time_index,argmax_delta_t,range,slope,mean,sd,min,max
C03,P07,0.019642474612012205,17,0.894736842105263,0.09200798047912065,0.06292937428453894,0.013398490357134857,0.02691347556469255,-0.0,0.09200798047912065
P08,P01,0.01810418799930519,18,0.9473684210526315,0.06958486031843297,0.03097208203901558,0.03624179336433809,0.027274766452159552,0.0,0.06958486031843297
C03,C04,0.01729559475477668,16,0.8421052631578947,0.07090982851442046,-0.05289287798323151,-0.011452576399082084,0.02198060735723881,-0.07090982851442046,0.0
C05,P01,0.014886555386944892,1,0.05263157894736842,0.11282004119435145,0.10699441273278688,0.0819960978589774,0.03458031538077815,0.0025644029974205666,0.11538444419177202
C03,P02,0.01387752197269305,18,0.9473684210526315,0.03529575823001019,-0.01752121201228024,-0.003458500138115292,0.009155848170138666,-0.03529575823001019,0.0
P02,C04,0.011730752324005483,14,0.7368421052631579,0.07694711183980167,0.06423893042372707,0.014789970200185354,0.024405576605343426,0.0,0.07694711183980167
P03,C04,0.011000781148617219,13,0.6842105263157894,0.06084227372601471,-0.05831523654248856,-0.01417411550191765,0.02099509594395879,-0.06084227372601471,-0.0
P04,P01,0.010929271753508708,13,0.6842105263157894,0.046234235483559365,-0.008934044859065945,0.021758991398821377,0.018425110649798963,0.0,0.046234235483559365
P08,C05,0.010720777504779823,17,0.894736842105263,0.02813622643440649,0.016805366808554087,0.003409357713838003,0.008075811747273476,0.0,0.02813622643440649
C06,P07,0.010635221889843486,7,0.3684210526315789,0.04470982131099375,0.05359862998494094,0.023170084048627117,0.01854520523773576,0.0,0.04470982131099375
C02,C06,0.010090561074720783,17,0.894736842105263,0.10154623946301193,0.10411514673861279,0.031963701649552326,0.033275652161384596,0.0,0.10154623946301193
P07,P05,0.00993070873573289,4,0.21052631578947367,0.04250122441615248,0.013196026545782722,0.023560904555214056,0.015219500352088425,0.0,0.04250122441615248
C02,P01,0.00950959069619485,9,0.47368421052631576,0.03390058825276843,0.026018977711387038,0.013055973189977496,0.013566867106843124,0.0,0.03390058825276843
P06,C05,0.009176594100533127,1,0.05263157894736842,0.043003045351115474,0.010880933646593722,0.05936134592364235,0.011844813683102888,0.029142809250974927,0.0721458546020904
P04,C02,0.009113894251183112,13,0.6842105263157894,0.03196120012714351,0.03670971095587927,0.009429275566541015,0.013090759962752559,0.0,0.03196120012714351
C06,C04,0.009081272442038395,15,0.7894736842105263,0.03547662847621289,0.02615525810328918,0.005667511847047763,0.010847326810718773,0.0,0.03547662847621289
P02,P07,0.008532756635167482,3,0.15789473684210525,0.03384534547424282,-0.0005668718835060271,0.01698866859948359,0.012941143007707068,0.0,0.03384534547424282
C02,P02,0.007631728565230328,8,0.42105263157894735,0.020672090424029618,-0.019539209129023773,0.006550663771418504,0.008171881851130072,0.0,0.020672090424029618
C06,P05,0.007231560134555512,3,0.15789473684210525,0.027353852618756943,0.010302039794453988,0.018118168704142082,0.007754531829920092,0.0,0.027353852618756943
