,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
P01,0.6236563769841527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
P02,0.0,0.5468034379525946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
P03,0.0,0.0,0.6479324156958642,0.0,0.0,-0.027917989275689774,0.0,0.0,-0.1130645351351731,0.0,0.0,-0.08239436800229795,-0.023109415982265232,0.0
P04,0.0,0.0,-0.0,0.5145597221319685,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P05,0.0,0.0,0.0,0.0,0.5579772461902777,0.0,-0.0,0.0,-0.03733472233444661,0.0,-0.06583042464989088,0.0,0.0,0.0
P06,0.0,-0.0,-0.004761337797146561,-0.011799026534303755,0.0,0.49349539921835234,0.0,-0.0,-0.04279810439882371,-0.00954958960307703,0.0,-0.016815594662355923,0.0,0.0
P07,0.0,0.0,-0.0,-0.03374212183254979,0.0,0.0,0.5464842405884116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19947452201345073,-0.05985252828556389,0.0,-0.07284964981559108,-0.0,0.0,0.0
C01,-0.0077903218225786035,0.0,-0.048295999613670336,-0.08615875193133359,-0.038200893944680486,0.0,-0.03960086238700023,0.0,0.6967352694419082,-0.0,0.0,0.0,0.0,0.0
C02,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5490225178875302,-0.0,0.0,0.0,0.0
C03,0.0,-0.06157904941659171,0.0,-0.089500809583133,0.0,0.0,0.0,0.0,0.0,0.0,0.31098011926026387,-0.10239480431395814,0.0,0.0
C04,0.0,0.0,-0.059253336263275044,0.0,-0.029154958437087167,0.0,0.0,-0.05134741987757819,-0.0,0.0,0.0,0.5021997763833865,0.0,0.0
C05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006200958943780649,0.0,0.0,0.0,0.6400718299650343,0.0
C06,0.0,0.0,-0.023239421938696388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021497579451420324,0.0,0.0,0.6148437949174189
