code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Persistent low-intensity grief/longing,longing,0.75,
C02,CRITERION,Repetitive checking of ex's social media,compulsive_confirmatory_behaviors_about_relationship_status,0.72,
C04,CRITERION,Acute somatic distress triggered by checking,distress_or_impairment_from_somatic_symptom,0.78,
C05,CRITERION,Difficulty inhibiting checking despite harm,checking_behaviors_for_harm_prevention,0.78,
C06,CRITERION,Upward social comparison/rumination about ex,constant_comparison_with_ideal_partner,0.62,
P01,PREDICTOR,Digital_Social_Environment_Structure_and_Blockers,digital_boundary_setting_plan,0.82,
P02,PREDICTOR,Urge_Surfing_and_Delay_Strategy_for_Checking,cognitive_reframe_urge_as_wave,0.72,
P03,PREDICTOR,Self_Compassion_Training_to_Reduce_Shame,self_compassion_break_practice,0.72,
P04,PREDICTOR,Sleep_Regulation_and_Rhythm_Building,social_rhythm_stabilization,0.72,
P05,PREDICTOR,Structured_Social_Support_and_Connections,supportive_checkin_network_setup,0.72,
