t_index,date,P01,P02,P03,P04,P05,C01,C02,C04,C05,C06
0,2025-01-01,,0.5664606826147516,0.9727359295665874,0.3266243370393086,0.41185218623670655,,2.512844580122775,5.15039925927135,3.7486651099213737,4.252572976332048
1,2025-01-02,0.6312194317094335,0.5282270475637615,0.8971445814298469,0.27060158511338295,0.3399315082000119,4.132296114475179,,5.194945690206565,3.045183047407528,4.203679891537121
2,2025-01-03,0.5774326800413819,0.34100370154051457,,0.38860044879636313,0.37440085723077793,4.178938915051396,,5.449664637962081,,4.445636750030476
3,2025-01-04,0.5641074657905094,0.20172659771367069,0.7314842842821995,0.4218748204616437,0.3160737955135653,3.112681725962812,,5.338418977611126,2.9167446436249937,4.5374304473464955
4,2025-01-05,0.4896251494709441,0.22074383492938113,0.3780578917237004,0.5143605041270564,0.2456342834317452,2.1540162523716835,2.7426748325361916,4.559147360659288,2.735519165533349,4.6732288646550675
5,2025-01-06,0.5005357579275632,0.2820782496419048,0.344491257205758,0.6391100143286338,0.2953438448062509,2.0935384389061755,2.2309469241606767,,2.7912348875019335,3.692024845252911
6,2025-01-07,0.45737523763629884,0.3163727124585049,,0.5768940483764186,0.23715227073313547,2.717989672438556,3.12619583596638,,2.733779817458229,3.772110655804074
7,2025-01-08,0.5694344103190867,0.28268992202370496,0.12100978114169893,0.5920182642132961,0.27396591167325296,2.9178673435004594,3.2810313317887676,,,
8,2025-01-09,0.39354030294079007,0.1963956082973068,0.10157159984292519,0.4781171109315113,0.2554999010889285,3.07383159038996,3.4235780201090096,2.8937170176443434,2.222437068691311,1.8879796682682257
9,2025-01-10,0.5969646744907247,0.16325742765282944,0.2267644230309603,,0.22158594581390612,2.9028037031809513,2.7192365767802675,2.0823623067527217,1.8982815457834685,1.845693759130271
10,2025-01-11,0.48294009392530357,0.14211181170721351,0.24069859737872776,0.4861302801028347,0.2133119680726594,3.450657882665487,3.6386094218236105,1.5324822133232492,1.9845315991101655,2.157550668045835
11,2025-01-12,,0.12634031842659987,0.12888041579181328,0.3948691203750592,0.2985844482874125,3.4405715919220197,2.9614024142360735,1.9222209812139937,0.0,2.720728328759451
12,2025-01-13,0.5005656680198601,0.07262969291181771,0.035109564070158555,0.42858031282601106,0.2767663529886653,3.3845599918285583,2.825393104746514,1.474535944224058,2.4004581442075756,3.5826831486477215
13,2025-01-14,0.5064130675393268,0.06662255961526593,0.15718366753790253,0.44461681581999746,,3.9992045715586313,3.6393720325767216,,2.859716566589321,3.741269269268931
14,2025-01-15,,0.06112775967403288,0.2803220747907352,0.36469811583536005,0.41616527580548723,4.657075752270777,3.328808105253083,2.0329322021243534,3.580406707261182,
15,2025-01-16,,0.09974288064808606,0.15901736824242863,0.5701739664870313,0.3876579384721747,4.8546673267608025,,3.3169883481168174,3.250229388578307,2.3494402383058643
16,2025-01-17,,0.054121471262579386,0.0,0.38906880471284233,0.650464745131726,4.8470723826774265,2.9781519440468345,3.179453910092403,,1.9975447185488826
17,2025-01-18,,0.014757172186806992,0.0,0.4955591790958487,0.5394777638446289,3.350143891347013,2.155906043122788,,2.6815591182318683,
18,2025-01-19,0.6200523150874808,0.07756551968011774,0.0,0.4419654568428866,0.4998071901224729,4.2117847210590975,3.131759276278551,,2.5752378716705175,2.0187759611706735
19,2025-01-20,0.48420065304081605,0.0,0.0,0.5034761185384251,0.4634618240857934,4.029484696634575,3.20611286040995,,3.2128215512277776,3.345101465112882
20,2025-01-21,0.4917430246546098,0.0,0.05879457557179918,0.6139960270312853,0.5741390134012389,4.654195670795602,3.4740540763664787,,2.510820958013336,
21,2025-01-22,0.533759706028529,,0.08238892321550086,0.640082381386234,0.5430136021041014,4.494251442829667,4.8358503380456215,4.030968744488191,2.855462040175356,3.9250133433344896
22,2025-01-23,0.44875342588694145,,0.14287223451124242,0.5172970355618313,0.42487106295281657,4.953642925518684,3.3116480939990875,,3.652680774815434,3.891761642142938
23,2025-01-24,0.21165643065802406,,,0.4854586916078841,0.5057353422989441,,3.7507280233586378,3.3100454696144603,,4.821406813809624
