code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Speech-related word-retrieval lapses,word_retrieval_difficulty,0.82,
C02,CRITERION,Fear about aging/cognitive decline,wisdom_versus_relevance_tension,0.62,
C03,CRITERION,Self‑consciousness during conversation,self_consciousness_in_social_performance,0.86,
C04,CRITERION,Reduction in verbal engagement,verbal_fluency_reduction,0.77,
C05,CRITERION,Anticipatory worry about speaking,anticipatory_anxiety_before_performance,0.82,
P01,PREDICTOR,Word retrieval strategy practice (cued retrieval strategies during conversation),word_retrieval_strategy_practice,0.92,
P02,PREDICTOR,Lexical and semantic fluency training (word retrieval practice),word_retrieval_strategy_practice,0.78,
P03,PREDICTOR,Self-talk transcription practice (monitoring),self_talk_transcription_practice,0.77,
P04,PREDICTOR,Self-talk for delay and choice (urge management),compassionate_self_talk_during_urge,0.92,
P05,PREDICTOR,Spaced retrieval practice (memory retrieval strategy),spaced_retrieval_practice,0.92,
