t_index,date,P01,P02,P03,P04,P05,P06,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.26627618542814024,,0.4367843496079314,0.27828656297173304,,0.4570102609700666,,3.01847643872789,,4.91777402702506,,4.896600735950726
1,2025-01-02,0.20441301317701166,0.37878237361665573,0.2403299827089879,0.27252181340897136,0.5467192903478428,0.4134576494076195,3.268081685885304,2.481389592332002,4.673639519929765,5.2666517463772164,4.051594925305206,4.198143829262636
2,2025-01-03,0.0,0.25257957693823374,0.2765431161427911,0.2349013666877107,0.6351424193290617,0.29754862480463806,2.7473356783042227,2.660024890301629,4.6337244880302,5.632609177956643,4.312890691792318,3.557225213081275
3,2025-01-04,,0.38978143542572163,0.2888406776194005,0.1891110974053081,0.4079919396517324,0.31182162724032947,3.5438438473071616,2.1383727110958524,4.895601902769808,5.1180478345387845,3.3120502728053482,3.9027020972767787
4,2025-01-05,,0.4163597325968518,0.3336837469541827,0.3784875821906971,0.49824423755609604,0.33570932352941796,3.595589127428463,1.801523581716945,4.504461655234646,4.465407161403298,3.113860692336101,3.9420753088684104
5,2025-01-06,,0.4316557166798726,0.2655896475359168,,0.40130210310798076,0.24878464470862527,3.902548686005341,1.7459319018060873,5.315235594998976,,3.0374827466669636,
6,2025-01-07,,0.4141682015980073,,0.17162595426591956,0.31523565216552235,0.24865923497801623,3.3080985044632727,1.9845351311901562,5.139134405334987,4.83451747633604,,4.3248900111907576
7,2025-01-08,,0.3626412689086193,,0.263984100403577,0.3908474176942745,0.1055246444680418,4.394339443538412,2.96970285968116,4.326328652672842,5.031857913350806,3.4068773757582016,3.4223448148309514
8,2025-01-09,,0.4580638070632781,,,0.3933447513735173,0.08924014394794763,3.9081018612512346,2.872949561805688,5.1586678481520964,4.904893675801222,3.234528553703764,4.462067069978642
9,2025-01-10,,,,0.2395630040358957,0.4753150500553284,0.2019256992519669,2.7371565661723682,2.498520205496156,4.553183134441414,4.014000787710291,,3.373245829648436
10,2025-01-11,0.06310975556235696,0.0528406530835791,,0.18960627923904078,0.3957554673098205,,4.34943155975088,2.3560355677204763,3.8741337813954004,4.609526649112416,3.6525996388713975,3.745831200690868
11,2025-01-12,0.0,0.20513562818601905,,0.2553502797236957,0.37926741862210056,,4.791119703175264,2.2623715475241992,4.082676692870858,4.094328690779736,3.9566849453793393,3.629538209305557
12,2025-01-13,0.0,0.2602479815979936,,0.176471240445696,0.3478906499557954,0.33440358752330424,4.9440883699246285,2.305790131404438,9.284167798651332,4.004722019799771,3.10277365982894,4.143626312649427
13,2025-01-14,0.0,0.1882204933079496,,0.09089536523912221,0.5163385974882112,0.36794893443439786,4.818866923101566,3.272954730609272,3.4786532470188183,4.779360618428621,2.654365098073555,3.839082616901392
14,2025-01-15,0.0,0.15592782259267496,,,0.4555397464981826,,4.1433332089469985,3.0621542663748036,3.4868055885743146,4.57161527512348,,4.08140592883818
15,2025-01-16,0.0,0.10022101163695285,,,0.4820200963175545,0.1784934383935195,3.309852443583879,2.676632852598595,3.271296551418737,4.0258846825487815,3.5547894467557057,4.0187521593978115
16,2025-01-17,0.0,0.1386222738187,0.1483011683329611,0.3349893714109836,0.41298066947378825,0.05773211132017224,3.023292488126996,1.2929708550108012,,3.7710393465000185,2.4797562945728107,3.0546529526716943
17,2025-01-18,0.06688011709731331,0.30113668457091014,,0.44357197067702514,,0.16723362766280309,2.5439175230093434,0.9116894803493129,3.088178266028924,3.6667531282848023,,
18,2025-01-19,0.15816544872990287,0.4097402829949415,0.09655760151469,0.37349227471019225,0.47282054221573694,0.15979106512098784,2.5384345331155824,0.571925882846213,2.4567214442373553,3.895940703022748,,
19,2025-01-20,0.028028667066335625,0.6360847512646604,0.0,0.36382673642570834,0.5129186323948544,,2.1338098697543093,1.1630959784436303,2.9931826806466315,3.7601432639937173,,0.8160756349575109
20,2025-01-21,,0.6489240188847556,0.10612533611368194,0.3264080034104303,0.5436225472683757,0.07531446412118659,3.0019256554957514,1.3425189187549729,3.5090219131845224,3.995473892219957,,1.533256386308885
21,2025-01-22,0.1545290366564555,0.6272886572995969,0.21483367653042135,0.34926323226530204,,0.2173428036379458,2.4943552869724175,1.2115725466376186,3.0877339670722517,,0.4717732668648713,0.6900131931142971
22,2025-01-23,0.021791345489044156,0.7203529227239692,0.2898439082771773,0.26079102351021466,0.4141717937193571,,1.880505271676052,0.8295568739088485,,3.8832865065335493,0.0,0.7706591172685349
23,2025-01-24,0.08168566511247347,0.6710147342163618,0.25424850960863193,0.33082496455237603,0.33475208508165344,0.16267833795754189,1.7027438706883924,0.36185403717009745,3.2114320949322215,3.487026521681175,,2.115953665692225
24,2025-01-25,0.0687532854576273,0.6284622282183872,0.26456890244862435,0.34094435421151925,0.3686588303442077,,1.7061796240574507,0.263088718144797,3.7373766238643484,3.4935212649169314,0.026907903771211217,2.2148772144641216
