code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Appetite lability (no hunger vs intense hunger),craving,0.75,
C02,CRITERION,Nighttime uncontrolled eating episodes,loss_of_control_during_night_eating,0.82,
C03,CRITERION,Post-eating negative self-evaluation and physical disgust,embarrassment_or_shame_about_binge_eating,0.72,
C04,CRITERION,Rigid 'be good tomorrow' dieting intent,dietary_restriction_or_food_rule_persistence,0.78,
C05,CRITERION,Nighttime food accessibility,kitchensorbedsidefoodaccessduringepisodes,0.86,
C06,CRITERION,Late-night wakefulness/opportunity,awakenings_during_sleep,0.72,
P01,PREDICTOR,Sleep Regularization and Circadian Alignment,consistent_morning_anchor_routine,0.72,
P02,PREDICTOR,Meal Planning and Structure,recipe_rotation_system,0.82,
P03,PREDICTOR,Mindful Eating Practice,mindful_eating_practice,0.78,
P04,PREDICTOR,Environmental Nighttime Access Reduction,environment_design_for_eating,0.62,
P05,PREDICTOR,Pre-Sleep Wind-Down and Screen Time Constraints,presleep_detachment_routine_design_psychological,0.72,
P06,PREDICTOR,Self-Monitoring and Appetite/Satiety Logs,appetite_and_satiety_log,0.92,
