t_index,date,P01,P02,P03,P04,P05,P06,C01,C02,C03,C04,C05,C06,C07
0,2025-01-01,0.2572067910303837,,0.9811528561115657,0.8495814470733374,0.4887354787191844,0.5283761966797939,4.276123291171972,5.032135395217622,6.352387451324096,5.538749696368795,5.195743845940399,5.524427145116577,
1,2025-01-02,0.18391321375255115,0.4629280661814315,0.952038720352933,0.912945432158644,0.4117150837201418,0.33624916500670576,3.9396343433980388,4.104019087016447,5.792708706664331,5.186415881210861,4.823276835712217,4.943711644161147,5.59345361100094
2,2025-01-03,0.23045769964184687,0.48710603926023005,0.771759867846721,0.9178874620718493,0.390273562487471,0.1981764971715746,3.466882540540695,3.6515168926609483,4.23446713203422,4.914708863021222,,4.00103485374739,5.337347529781849
3,2025-01-04,0.22402753222057964,0.396073426230671,0.7997253978186927,0.8785074621611234,0.3998227480568728,0.1326583293055867,3.0715912456811547,3.617396524609641,3.826303806591637,4.528978589117953,4.448589594466508,3.7029518780982906,5.616184391137572
4,2025-01-05,0.22044277585208208,0.35844758211367417,0.6664098369014934,0.7564971030850971,0.3264676500600537,0.0703916894006717,4.340769359972358,3.2966443778241756,3.0772000888210624,3.497157980920988,4.490761258233984,3.2939101347444444,4.972275713046451
5,2025-01-06,0.2155842388582596,0.4030894722257694,,0.8085902685104865,0.3343579494117274,0.13551786279914857,4.893651091209364,3.926929280854067,2.763017512973759,3.9086811088361566,4.375118721875168,2.6870436209713766,5.041448640398826
6,2025-01-07,0.26099869744230886,0.4331805051734992,0.5723430006871408,0.7647650491587614,0.38785799832852186,0.08520662499840828,5.650371447217643,4.16472519499263,3.05702851558628,3.881387450269237,4.409156211187062,3.527243977012394,5.715278800915645
7,2025-01-08,0.2603271077088969,0.20779522001966255,0.455095052923183,0.683312660610653,,0.12519760460993007,4.647172863432313,3.5294661988555296,2.8340380312922564,3.4516571606568585,4.736721043568017,3.3644067041922217,5.721979425270388
8,2025-01-09,0.19224423423932058,0.08387080746007033,0.5385351861048262,,,0.3516127836711156,4.562802495059218,3.210636158261939,,2.6099493906594993,4.947284895869771,3.4860847935132484,
9,2025-01-10,0.10124018535300147,0.0633329679704878,0.6776476581299586,0.6010834675237932,,0.19264818483227136,4.742298985732216,4.015930845089008,4.869975600437792,,,3.6196002396677143,4.584020082157704
10,2025-01-11,0.00681011480218989,0.0,0.6254673375653348,0.51600094731863,0.0,0.18134469683161034,5.513908842638736,4.425731476653518,4.806748608308095,4.258616018350098,4.67935263172645,4.3463589934117355,
11,2025-01-12,0.0,0.0,,0.4985514432941583,0.0,0.22984792929746292,5.538795536739133,3.6027099459433938,4.051346400034865,4.330573429395079,4.282800803520898,5.168499744477129,3.6983041635703064
12,2025-01-13,0.06264008543554293,0.0,0.44607360539493424,0.49565480465639605,0.0,,,4.234521595906401,4.304258925177423,5.337525497248893,4.120306126510275,5.57670077439264,4.265580742242245
13,2025-01-14,0.08245620977419658,0.0,0.5298840418318208,0.45816003372190905,0.0,0.16275132190719835,,4.863574997553294,3.9125671737277337,4.908211767167842,4.217553483735484,,3.9274430213937843
14,2025-01-15,0.12875092099494623,0.12462721322262704,0.5353947632229172,0.4614375287414531,,,,,5.2067404564082596,3.7783630356960636,4.504768424534681,5.417117674270504,3.7113933116690445
15,2025-01-16,0.0883841784100495,0.0,0.5558668529577273,0.3826173780389234,0.019403855945522987,0.2685215632627024,,5.828238628722674,4.2102938140531565,4.65680170101687,5.251084920740812,5.521209853326458,3.6108815708171806
16,2025-01-17,0.2852207313720179,0.0,0.47523759585459735,0.4560750200477119,0.0,0.4429267766799174,,,5.286146578947972,4.267332840207306,,5.687180019304,3.940012085923666
17,2025-01-18,0.24574159016754343,0.04352420767468145,,,0.0,0.45522939442305155,,5.919058143584525,4.956548443468694,4.58488534957697,5.351623091098318,5.415382698212037,
18,2025-01-19,0.1287428810711047,0.07926274804327986,0.3119969442227598,,0.019872134392916997,0.3862906327148511,,6.686087918752683,4.908881946877443,,5.270173487176357,5.6354437636156,4.3439709991817566
19,2025-01-20,,0.20094740364865776,0.3960302234377356,0.41861619272705697,0.018391125977873325,0.4458128209636209,3.9467376123490454,6.319639524759085,5.260359076689582,4.456197972264519,5.9450465196598845,5.635850330976849,
20,2025-01-21,0.12498101817289137,0.14384577035552434,0.36272416354319026,0.4847587088375842,0.03716880622738198,0.34761879164828613,,5.1508034569845265,5.189639651549171,4.491981515417377,6.363707073706808,,
21,2025-01-22,,0.13902611910086188,0.40373797420674684,0.47833014984291466,0.07136033176526002,0.22408925903524177,4.6437197260792225,4.917438712218586,5.787138241021893,4.029683665291458,5.764087543284871,6.321470340004116,4.631167018903564
22,2025-01-23,,0.20158374419933814,0.5584669726494165,,0.3078194504390138,0.0024729905707472077,3.794704260694934,4.695311199485111,5.315428543175312,3.6602890410984994,5.310287061229247,5.658762714343107,4.125458220174917
23,2025-01-24,0.13677291776133207,0.30268497744210054,0.47795918568038726,0.47887451094071465,0.21618477590787757,,4.51580281705313,4.696117419721742,4.925827929379715,3.2266103671424893,4.466306211293448,4.33617141885014,3.710910814723353
24,2025-01-25,,,0.5289109846058663,0.5381301604918354,0.031909728415047744,,4.7971362779351425,4.1635263264594675,,2.703690795542538,4.237603580037175,3.8683004338401936,3.5243930496079785
25,2025-01-26,,,0.43466614999850667,0.4697189154295274,0.0,0.0,4.992637011628103,4.482921881955539,3.674276277398205,,3.862185513373646,3.631973106920212,3.9522295480524248
26,2025-01-27,0.027370471541077412,,0.38880780363497935,0.445450232495015,0.1072962914382486,,4.4001942216972845,4.281959647954903,4.5454058733791145,3.2002278057889706,3.8501374169010245,,3.847255182172564
27,2025-01-28,0.029268681617985837,,0.2913141078849856,0.35682197220257034,0.07903564902704449,0.0,4.95779551590816,4.323395081265661,3.974304214327729,1.9607197042004805,3.2725650750814395,4.496723802143261,5.134807352227516
28,2025-01-29,0.04557635819628452,,0.26157803131096524,0.30674286365935427,0.0974153272747153,0.0,5.523103524015517,4.561557604935032,,2.739870490721936,,3.849234756284506,5.107445359746149
