code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Romantic relationship doubt,relationship_ambiguity_navigation,0.92,
C02,CRITERION,Short-term mood variability,depressed_mood,0.72,
C03,CRITERION,State-dependent emotional connection to partner,emotional,0.72,
C04,CRITERION,Attribution uncertainty (internal vs external cause),relationship_ambiguity_navigation,0.62,
C05,CRITERION,Acute panic/catastrophic self-evaluation,chronic_self_criticism,0.72,
C06,CRITERION,Emotion regulation / coping capacity in moments of doubt,regulating,0.83,
C07,CRITERION,Impact on relationship decision-making and behavior,relationship_commitment,0.66,
P01,PREDICTOR,Emotion Regulation Skills Training (CBT/DBT-based),cognitive_reappraisal_emotion,0.72,
P02,PREDICTOR,Attribution Uncertainty (internal vs external cause),alternative_attribution_generation,0.72,
P03,PREDICTOR,Romantic Relationship Communication Skills,active_listening_practice_as_couple,0.72,
P04,PREDICTOR,Sleep Quality (Last Night),sleep_quality_rating,0.88,
P05,PREDICTOR,Social Support & Belonging Engagement,belonging_and_community_fit_assessment,0.78,
P06,PREDICTOR,Moderate Physical Activity (wearable),activity_tracker_wearable,0.72,
