code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Increased alcohol use beyond intended,larger_amount_than_intended,0.85,
C02,CRITERION,Anticipatory urges/ preoccupation about drinking,craving_urge_to_use_alcohol,0.92,
C03,CRITERION,Perceived loss of voluntary control over drinking,loss_of_control_over_use,0.56,
C04,CRITERION,Alcohol used as post-work coping/relaxation,unknown,,
C05,CRITERION,Morning mood/energy impairment linked to drinking,morning_mood_worsening,0.85,
C06,CRITERION,Worry/concern about current drinking,worry,0.72,
P01,PREDICTOR,Mindful drinking practice,mindful_drinking_practice,0.95,
P02,PREDICTOR,Alcohol-free social plan,alcohol_free_social_plan,0.95,
P03,PREDICTOR,Coping_skills_training_use,coping_with_social_pressure_without_use,0.92,
P04,PREDICTOR,Sleep routine regularity,wind_down_routine,0.72,
P05,PREDICTOR,Wearable-derived sleep quality,sleep_tracker_wrist_wearable,0.78,
