code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Repetitive proofreading/checking of outgoing messages,time_spent_on_checking_per_day,0.72,
C02,CRITERION,Fear of sounding stupid or rude when messaging,anticipatory_anxiety_in_social_evaluative_contexts,0.95,
C03,CRITERION,Delayed responses to messages (slow reply),ensuring,0.72,
C04,CRITERION,Perceived social consequence: others interpret delay as ignoring,interpersonal_rejection_sensitivity,0.75,
C05,CRITERION,Uncertain threshold for 'good enough' message content,uncertaintytolerance,0.78,
C06,CRITERION,Functional/time impact on communication,topic_maintenance_impairment,0.6,
P01,PREDICTOR,Drafting boundary/template protocol for messages,boundary_setting_scripts,0.62,
P02,PREDICTOR,Cognitive reframing and social feedback experiments,safety_probability_reframe,0.78,
P03,PREDICTOR,Structured social script and response pacing,cognitive_rehearsal_script,0.92,
P04,PREDICTOR,Cognitive offloading and external aids for message composition,external_aids_use_training,0.72,
P05,PREDICTOR,Pre-message relaxation and mindfulness practices,pre_event_centering_practice,0.82,
P06,PREDICTOR,Assertiveness communication skills training,i_statement_communication_practice,0.72,
