code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Auditory trigger sensitivity (chewing sounds),distress_anxiety_response_to_trigger_sounds,0.78,
C02,CRITERION,Intensity and controllability of anger response,anger_rage_response_to_trigger_sounds,0.74,
C03,CRITERION,Perseverative auditory attention / inability to habituate,intrusive_cognition_about_trigger_sounds,0.75,
C04,CRITERION,Self-directed distress and negative evaluation,self_critical_rumination,0.72,
C05,CRITERION,Reported sensitivity to textures,tactile_hypersensitivity,0.72,
P01,PREDICTOR,Autonomic Arousal Regulation Practice (paced breathing / HRV biofeedback),hrv_guided_breathing_tool,0.82,
P02,PREDICTOR,Self-Soothing Sensory Toolkit Usage (multi-sensory toolkit),self_soothing_sensory_toolkit,0.92,
P03,PREDICTOR,Mindfulness of Sounds (present-moment awareness of auditory input),mindfulness_of_sounds,0.92,
P04,PREDICTOR,Compassion-Focused Self-Relating Practice,compassionate_self_talk_practice,0.88,
P05,PREDICTOR,Sleep Hygiene and Circadian Regularity,sleep_diary,0.75,
