code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,High-frequency intrusive financial worry,worry,0.85,
C02,CRITERION,Catastrophic expectation about unexpected expenses,unknown,,
C03,CRITERION,Chronic low-level physiological/affective arousal (panic),panic,0.66,
C04,CRITERION,Perceived inability to reliably meet basic expenses,basic,0.92,
C05,CRITERION,Low confidence in financial resilience despite current adequacy,financial,0.88,
C06,CRITERION,Future-oriented financial uncertainty,future_oriented_worry_rumination,0.7,
P01,PREDICTOR,Worry management and planning (CBT-based),worry_to_planning_discrimination,0.82,
P02,PREDICTOR,Budgeting support engagement (financial care navigation),budgeting_support_service,0.92,
P03,PREDICTOR,Arousal regulation (breathing/mindfulness),mindfulness_of_breath,0.78,
P04,PREDICTOR,Sleep circadian optimization (sleep routines),sleep_quality_rating,0.86,
P05,PREDICTOR,Social connection/safety plan (resources & support),support_needs_by_context_assessment,0.72,
