code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Guilt when resting,guilt_feelings_present,0.62,
C02,CRITERION,Belief that non-productivity equals wasting time,time,0.58,
C03,CRITERION,Sense of falling behind/time scarcity,timely,0.78,
C04,CRITERION,Intrusive self-critical thoughts during leisure,self_critical_rumination,0.62,
C05,CRITERION,Urge/drive to act rather than rest,preparedness,0.85,
C06,CRITERION,Difficulty engaging in restorative activities,balancing,0.75,
P01,PREDICTOR,Structured Rest Blocks with Restorative Cueing,recovery_rituals_planning,0.82,
P02,PREDICTOR,Self-Compassion and Mindfulness for Leisure,relating_differently_to_thoughts_practice,0.92,
P03,PREDICTOR,Urge/Delay Tolerance Training,urge_tolerance_practice,0.86,
P04,PREDICTOR,Sleep Hygiene & Circadian Regulation,low_stimulation_evening_activities,0.72,
P05,PREDICTOR,Time-Blocking for Valued Actions,values_aligned_time_allocation_plan,0.72,
