code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Social avoidance behavior,social_avoidance_behavior,0.92,
C02,CRITERION,Belief 'I am annoying',chronic_self_criticism,0.72,
C03,CRITERION,Post-event rumination about social remarks,excessive_rumination_about_others_judgments,0.72,
C04,CRITERION,Plan cancellation frequency/impact,social_withdrawal_or_interpersonal_detachment,0.62,
C05,CRITERION,Experienced loneliness from reduced social contact,combatting,0.72,
C06,CRITERION,Self-critical reaction to loneliness,self_critical_rumination,0.72,
P01,PREDICTOR,Loneliness reduction action plan adherence,loneliness_reduction_action_plan,0.92,
P02,PREDICTOR,Post-interaction rumination reduction coaching engagement,rumination_interrupt_routines,0.72,
P03,PREDICTOR,Reengagement after isolation progress,reengagement_after_isolation_plan,0.82,
P04,PREDICTOR,Sleep quality and circadian alignment,sleep_diary,0.69,
P05,PREDICTOR,Self-monitoring goals and feedback loop,sct_self_monitoring_goals_and_feedback_loop,0.78,
